Close,Date Time,High,Low,Open,Volume
0.0,2016-04-26 09:23:17,0.0,0.0,0.0,0
0.0,2016-04-26 09:23:26,0.0,0.0,0.0,0
0.0,2016-04-26 09:23:30,0.0,0.0,0.0,0
0.0,2016-04-26 09:23:32,0.0,0.0,0.0,0
0.0,2016-04-26 09:23:40,0.0,0.0,0.0,0
0.0,2016-04-26 09:23:47,0.0,0.0,0.0,0
0.0,2016-04-26 09:24:02,0.0,0.0,0.0,0
0.0,2016-04-26 09:24:10,0.0,0.0,0.0,0
0.0,2016-04-26 09:24:14,0.0,0.0,0.0,0
0.0,2016-04-26 09:24:25,0.0,0.0,0.0,0
0.0,2016-04-26 09:24:32,0.0,0.0,0.0,0
0.0,2016-04-26 09:24:38,0.0,0.0,0.0,0
0.0,2016-04-26 09:24:41,0.0,0.0,0.0,0
28.66,2016-04-26 09:25:03,28.66,28.66,28.66,84500
28.66,2016-04-26 09:25:12,28.66,28.66,28.66,0
28.66,2016-04-26 09:29:01,28.66,28.66,28.66,0
28.66,2016-04-26 09:29:03,28.66,28.66,28.66,0
28.67,2016-04-26 09:30:02,28.67,28.67,28.67,40600
28.68,2016-04-26 09:30:04,28.68,28.68,28.68,117600
28.68,2016-04-26 09:30:08,28.68,28.68,28.68,10100
28.68,2016-04-26 09:30:11,28.68,28.68,28.68,3700
28.7,2016-04-26 09:30:14,28.7,28.7,28.7,100
28.75,2016-04-26 09:30:17,28.75,28.75,28.75,3100
28.82,2016-04-26 09:30:20,28.82,28.82,28.82,8800
28.75,2016-04-26 09:30:23,28.75,28.75,28.75,1800
28.79,2016-04-26 09:30:26,28.79,28.79,28.79,5000
28.75,2016-04-26 09:30:29,28.75,28.75,28.75,1400
28.75,2016-04-26 09:30:32,28.75,28.75,28.75,3600
28.79,2016-04-26 09:30:35,28.79,28.79,28.79,8600
28.75,2016-04-26 09:30:38,28.75,28.75,28.75,13000
28.79,2016-04-26 09:30:41,28.79,28.79,28.79,4500
28.8,2016-04-26 09:30:44,28.8,28.8,28.8,7800
28.79,2016-04-26 09:30:47,28.79,28.79,28.79,20300
28.78,2016-04-26 09:30:49,28.78,28.78,28.78,2600
28.8,2016-04-26 09:30:53,28.8,28.8,28.8,42100
28.79,2016-04-26 09:30:56,28.79,28.79,28.79,18100
28.7,2016-04-26 09:30:59,28.7,28.7,28.7,16500
28.79,2016-04-26 09:31:02,28.79,28.79,28.79,19000
28.75,2016-04-26 09:31:04,28.75,28.75,28.75,4700
28.76,2016-04-26 09:31:08,28.76,28.76,28.76,15100
28.78,2016-04-26 09:31:11,28.78,28.78,28.78,15500
28.76,2016-04-26 09:31:14,28.76,28.76,28.76,5600
28.76,2016-04-26 09:31:17,28.76,28.76,28.76,10300
28.7,2016-04-26 09:31:20,28.7,28.7,28.7,16200
28.75,2016-04-26 09:31:23,28.75,28.75,28.75,1600
28.74,2016-04-26 09:31:26,28.74,28.74,28.74,8300
28.74,2016-04-26 09:31:29,28.74,28.74,28.74,5800
28.74,2016-04-26 09:31:32,28.74,28.74,28.74,75000
28.72,2016-04-26 09:31:35,28.72,28.72,28.72,2300
28.76,2016-04-26 09:31:38,28.76,28.76,28.76,15100
28.7,2016-04-26 09:31:41,28.7,28.7,28.7,4300
28.7,2016-04-26 09:31:44,28.7,28.7,28.7,100
28.73,2016-04-26 09:31:47,28.73,28.73,28.73,400
28.7,2016-04-26 09:31:50,28.7,28.7,28.7,5300
28.7,2016-04-26 09:31:53,28.7,28.7,28.7,5800
28.7,2016-04-26 09:31:56,28.7,28.7,28.7,2600
28.7,2016-04-26 09:31:59,28.7,28.7,28.7,3100
28.7,2016-04-26 09:32:02,28.7,28.7,28.7,3000
28.72,2016-04-26 09:32:04,28.72,28.72,28.72,7200
28.69,2016-04-26 09:32:08,28.69,28.69,28.69,4100
28.73,2016-04-26 09:32:11,28.73,28.73,28.73,3600
28.72,2016-04-26 09:32:14,28.72,28.72,28.72,1000
28.72,2016-04-26 09:32:17,28.72,28.72,28.72,1000
28.72,2016-04-26 09:32:20,28.72,28.72,28.72,500
28.73,2016-04-26 09:32:23,28.73,28.73,28.73,2400
