Close,Date Time,High,Low,Open,Volume
20.45,2016-02-29 09:36:22,20.45,20.45,20.45,0
20.46,2016-02-29 09:36:25,20.46,20.46,20.46,9100
20.41,2016-02-29 09:36:28,20.41,20.41,20.41,18300
20.42,2016-02-29 09:36:31,20.42,20.42,20.42,27681
20.37,2016-02-29 09:36:34,20.37,20.37,20.37,20600
20.4,2016-02-29 09:36:37,20.4,20.4,20.4,1000
20.37,2016-02-29 09:36:40,20.37,20.37,20.37,43319
20.37,2016-02-29 09:36:42,20.37,20.37,20.37,6100
20.3,2016-02-29 09:36:46,20.3,20.3,20.3,1500
20.3,2016-02-29 09:36:49,20.3,20.3,20.3,1000
20.3,2016-02-29 09:36:52,20.3,20.3,20.3,9500
20.2,2016-02-29 09:36:55,20.2,20.2,20.2,11900
20.17,2016-02-29 09:36:58,20.17,20.17,20.17,8300
20.12,2016-02-29 09:37:01,20.12,20.12,20.12,7000
20.15,2016-02-29 09:37:04,20.15,20.15,20.15,2000
20.13,2016-02-29 09:37:07,20.13,20.13,20.13,1400
20.13,2016-02-29 09:37:10,20.13,20.13,20.13,200
20.09,2016-02-29 09:37:13,20.09,20.09,20.09,32300
20.15,2016-02-29 09:37:16,20.15,20.15,20.15,12900
20.11,2016-02-29 09:37:19,20.11,20.11,20.11,5500
20.11,2016-02-29 09:37:22,20.11,20.11,20.11,21300
20.06,2016-02-29 09:37:25,20.06,20.06,20.06,6700
20.06,2016-02-29 09:37:28,20.06,20.06,20.06,17400
20.04,2016-02-29 09:37:31,20.04,20.04,20.04,7400
20.02,2016-02-29 09:37:34,20.02,20.02,20.02,19400
20.03,2016-02-29 09:37:37,20.03,20.03,20.03,13200
20.03,2016-02-29 09:37:40,20.03,20.03,20.03,6300
20.02,2016-02-29 09:37:43,20.02,20.02,20.02,20554
20.0,2016-02-29 09:37:46,20.0,20.0,20.0,23200
20.02,2016-02-29 09:37:49,20.02,20.02,20.02,3900
20.0,2016-02-29 09:37:52,20.0,20.0,20.0,17846
19.96,2016-02-29 09:37:55,19.96,19.96,19.96,24100
19.98,2016-02-29 09:37:58,19.98,19.98,19.98,2800
19.98,2016-02-29 09:38:01,19.98,19.98,19.98,6600
