Close,Date Time,High,Low,Open,Volume
20.01,2016-02-26 09:44:01,20.01,20.01,20.01,0
20.01,2016-02-26 09:44:04,20.01,20.01,20.01,12700
20.01,2016-02-26 09:44:07,20.01,20.01,20.01,7800
20.01,2016-02-26 09:44:10,20.01,20.01,20.01,7000
20.01,2016-02-26 09:44:13,20.01,20.01,20.01,20800
20.0,2016-02-26 09:44:16,20.0,20.0,20.0,52335
20.0,2016-02-26 09:44:19,20.0,20.0,20.0,900
20.0,2016-02-26 09:44:22,20.0,20.0,20.0,500
20.0,2016-02-26 09:44:25,20.0,20.0,20.0,1200
19.98,2016-02-26 09:44:27,19.98,19.98,19.98,20500
19.97,2016-02-26 09:44:31,19.97,19.97,19.97,1800
19.91,2016-02-26 09:44:34,19.91,19.91,19.91,19800
19.96,2016-02-26 09:44:37,19.96,19.96,19.96,2700
19.96,2016-02-26 09:44:40,19.96,19.96,19.96,1700
19.92,2016-02-26 09:44:43,19.92,19.92,19.92,5200
19.9,2016-02-26 09:44:46,19.9,19.9,19.9,31000
19.88,2016-02-26 09:44:49,19.88,19.88,19.88,2300
19.89,2016-02-26 09:44:52,19.89,19.89,19.89,400
19.88,2016-02-26 09:44:55,19.88,19.88,19.88,3000
19.88,2016-02-26 09:44:58,19.88,19.88,19.88,3000
19.88,2016-02-26 09:45:01,19.88,19.88,19.88,3300
19.87,2016-02-26 09:45:04,19.87,19.87,19.87,21300
19.89,2016-02-26 09:45:07,19.89,19.89,19.89,23400
19.85,2016-02-26 09:45:10,19.85,19.85,19.85,13900
19.86,2016-02-26 09:45:13,19.86,19.86,19.86,6300
19.82,2016-02-26 09:45:16,19.82,19.82,19.82,4500
19.85,2016-02-26 09:45:19,19.85,19.85,19.85,35800
19.81,2016-02-26 09:45:22,19.81,19.81,19.81,13400
19.86,2016-02-26 09:45:25,19.86,19.86,19.86,44500
19.8,2016-02-26 09:45:28,19.8,19.8,19.8,38100
19.8,2016-02-26 09:45:31,19.8,19.8,19.8,4300
19.75,2016-02-26 09:45:34,19.75,19.75,19.75,7200
19.81,2016-02-26 09:45:37,19.81,19.81,19.81,1500
19.78,2016-02-26 09:45:40,19.78,19.78,19.78,2500
19.8,2016-02-26 09:45:43,19.8,19.8,19.8,5500
19.78,2016-02-26 09:45:46,19.78,19.78,19.78,4500
19.74,2016-02-26 09:45:49,19.74,19.74,19.74,11700
19.78,2016-02-26 09:45:52,19.78,19.78,19.78,8700
19.75,2016-02-26 09:45:55,19.75,19.75,19.75,11800
19.75,2016-02-26 09:45:58,19.75,19.75,19.75,6800
19.72,2016-02-26 09:46:01,19.72,19.72,19.72,17100
19.73,2016-02-26 09:46:04,19.73,19.73,19.73,32000
19.85,2016-02-26 09:46:07,19.85,19.85,19.85,90300
19.85,2016-02-26 09:46:09,19.85,19.85,19.85,13000
19.85,2016-02-26 09:46:13,19.85,19.85,19.85,14700
19.85,2016-02-26 09:46:16,19.85,19.85,19.85,10890
19.85,2016-02-26 09:46:19,19.85,19.85,19.85,19400
19.85,2016-02-26 09:46:21,19.85,19.85,19.85,21100
19.85,2016-02-26 09:46:25,19.85,19.85,19.85,18500
19.96,2016-02-26 09:46:28,19.96,19.96,19.96,6300
19.96,2016-02-26 09:46:31,19.96,19.96,19.96,15300
19.82,2016-02-26 09:46:34,19.82,19.82,19.82,84100
19.85,2016-02-26 09:46:37,19.85,19.85,19.85,3710
19.8,2016-02-26 09:46:40,19.8,19.8,19.8,2300
19.85,2016-02-26 09:46:43,19.85,19.85,19.85,3100
19.85,2016-02-26 09:46:45,19.85,19.85,19.85,400
19.88,2016-02-26 09:46:48,19.88,19.88,19.88,5290
19.85,2016-02-26 09:46:52,19.85,19.85,19.85,10800
19.88,2016-02-26 09:46:55,19.88,19.88,19.88,6700
19.88,2016-02-26 09:46:57,19.88,19.88,19.88,1500
19.88,2016-02-26 09:47:01,19.88,19.88,19.88,11700
19.88,2016-02-26 09:47:04,19.88,19.88,19.88,2100
19.9,2016-02-26 09:47:07,19.9,19.9,19.9,2600
19.88,2016-02-26 09:47:10,19.88,19.88,19.88,18000
19.88,2016-02-26 09:47:13,19.88,19.88,19.88,6200
19.88,2016-02-26 09:47:15,19.88,19.88,19.88,11700
19.85,2016-02-26 09:47:18,19.85,19.85,19.85,8400
19.88,2016-02-26 09:47:22,19.88,19.88,19.88,6900
19.88,2016-02-26 09:47:25,19.88,19.88,19.88,9600
19.88,2016-02-26 09:47:28,19.88,19.88,19.88,43600
19.88,2016-02-26 09:47:31,19.88,19.88,19.88,5300
19.9,2016-02-26 09:47:34,19.9,19.9,19.9,1300
19.9,2016-02-26 09:47:37,19.9,19.9,19.9,1600
19.9,2016-02-26 09:47:40,19.9,19.9,19.9,2700
19.99,2016-02-26 09:47:43,19.99,19.99,19.99,1600
19.9,2016-02-26 09:47:46,19.9,19.9,19.9,5700
19.9,2016-02-26 09:47:48,19.9,19.9,19.9,600
19.9,2016-02-26 09:47:52,19.9,19.9,19.9,1100
19.99,2016-02-26 09:47:54,19.99,19.99,19.99,1400
19.91,2016-02-26 09:47:58,19.91,19.91,19.91,5800
19.99,2016-02-26 09:48:01,19.99,19.99,19.99,4600
20.0,2016-02-26 09:48:04,20.0,20.0,20.0,400
19.99,2016-02-26 09:48:07,19.99,19.99,19.99,2800
20.0,2016-02-26 09:48:10,20.0,20.0,20.0,15200
19.98,2016-02-26 09:48:13,19.98,19.98,19.98,300
19.98,2016-02-26 09:48:16,19.98,19.98,19.98,1800
19.99,2016-02-26 09:48:19,19.99,19.99,19.99,1200
19.91,2016-02-26 09:48:21,19.91,19.91,19.91,6000
19.99,2016-02-26 09:48:25,19.99,19.99,19.99,100
19.95,2016-02-26 09:48:27,19.95,19.95,19.95,1500
19.99,2016-02-26 09:48:30,19.99,19.99,19.99,3300
19.99,2016-02-26 09:48:34,19.99,19.99,19.99,0
19.91,2016-02-26 09:48:37,19.91,19.91,19.91,1300
19.92,2016-02-26 09:48:40,19.92,19.92,19.92,1100
19.98,2016-02-26 09:48:43,19.98,19.98,19.98,1000
19.99,2016-02-26 09:48:46,19.99,19.99,19.99,1200
19.99,2016-02-26 09:48:48,19.99,19.99,19.99,100
19.99,2016-02-26 09:48:52,19.99,19.99,19.99,4800
19.99,2016-02-26 09:48:54,19.99,19.99,19.99,1100
19.99,2016-02-26 09:48:58,19.99,19.99,19.99,2200
19.99,2016-02-26 09:49:01,19.99,19.99,19.99,2100
19.98,2016-02-26 09:49:04,19.98,19.98,19.98,1000
19.99,2016-02-26 09:49:07,19.99,19.99,19.99,4100
20.0,2016-02-26 09:49:10,20.0,20.0,20.0,200
19.99,2016-02-26 09:49:13,19.99,19.99,19.99,1800
19.98,2016-02-26 09:49:16,19.98,19.98,19.98,3300
20.0,2016-02-26 09:49:18,20.0,20.0,20.0,3400
20.0,2016-02-26 09:49:22,20.0,20.0,20.0,3800
19.99,2016-02-26 09:49:25,19.99,19.99,19.99,400
20.0,2016-02-26 09:49:28,20.0,20.0,20.0,9300
19.94,2016-02-26 09:49:31,19.94,19.94,19.94,4200
19.95,2016-02-26 09:49:34,19.95,19.95,19.95,800
19.98,2016-02-26 09:49:36,19.98,19.98,19.98,2000
20.0,2016-02-26 09:49:40,20.0,20.0,20.0,17500
20.0,2016-02-26 09:49:43,20.0,20.0,20.0,4100
20.0,2016-02-26 09:49:45,20.0,20.0,20.0,2300
19.98,2016-02-26 09:49:49,19.98,19.98,19.98,35300
19.98,2016-02-26 09:49:51,19.98,19.98,19.98,1300
19.98,2016-02-26 09:49:54,19.98,19.98,19.98,700
19.95,2016-02-26 09:49:57,19.95,19.95,19.95,1700
20.0,2016-02-26 09:50:01,20.0,20.0,20.0,3000
19.95,2016-02-26 09:50:04,19.95,19.95,19.95,6400
20.0,2016-02-26 09:50:07,20.0,20.0,20.0,1000
19.95,2016-02-26 09:50:10,19.95,19.95,19.95,8500
20.0,2016-02-26 09:50:13,20.0,20.0,20.0,1100
20.04,2016-02-26 09:50:14,20.04,20.04,20.04,13350
20.04,2016-02-26 09:50:18,20.04,20.04,20.04,5900
20.04,2016-02-26 09:50:21,20.04,20.04,20.04,700
20.04,2016-02-26 09:50:25,20.04,20.04,20.04,0
20.05,2016-02-26 09:50:28,20.05,20.05,20.05,2300
20.04,2016-02-26 09:50:31,20.04,20.04,20.04,7800
20.06,2016-02-26 09:50:34,20.06,20.06,20.06,2100
20.04,2016-02-26 09:50:37,20.04,20.04,20.04,500
20.06,2016-02-26 09:50:40,20.06,20.06,20.06,10100
20.05,2016-02-26 09:50:42,20.05,20.05,20.05,1100
20.06,2016-02-26 09:50:46,20.06,20.06,20.06,5300
20.05,2016-02-26 09:50:49,20.05,20.05,20.05,4800
20.06,2016-02-26 09:50:52,20.06,20.06,20.06,14300
20.05,2016-02-26 09:50:54,20.05,20.05,20.05,5000
20.02,2016-02-26 09:50:56,20.02,20.02,20.02,800
20.06,2016-02-26 09:51:01,20.06,20.06,20.06,13000
20.06,2016-02-26 09:51:04,20.06,20.06,20.06,1800
20.06,2016-02-26 09:51:06,20.06,20.06,20.06,7900
20.06,2016-02-26 09:51:10,20.06,20.06,20.06,200
20.0,2016-02-26 09:51:13,20.0,20.0,20.0,4400
20.06,2016-02-26 09:51:15,20.06,20.06,20.06,200
20.05,2016-02-26 09:51:19,20.05,20.05,20.05,7000
20.05,2016-02-26 09:51:22,20.05,20.05,20.05,11600
20.05,2016-02-26 09:51:25,20.05,20.05,20.05,1500
20.06,2016-02-26 09:51:27,20.06,20.06,20.06,1800
20.06,2016-02-26 09:51:30,20.06,20.06,20.06,1200
20.06,2016-02-26 09:51:34,20.06,20.06,20.06,5100
20.06,2016-02-26 09:51:37,20.06,20.06,20.06,2300
20.06,2016-02-26 09:51:39,20.06,20.06,20.06,1200
20.06,2016-02-26 09:51:42,20.06,20.06,20.06,900
20.06,2016-02-26 09:51:46,20.06,20.06,20.06,6100
20.07,2016-02-26 09:51:49,20.07,20.07,20.07,2500
20.06,2016-02-26 09:51:52,20.06,20.06,20.06,2400
20.07,2016-02-26 09:51:55,20.07,20.07,20.07,500
20.08,2016-02-26 09:51:58,20.08,20.08,20.08,7300
20.06,2016-02-26 09:51:59,20.06,20.06,20.06,5600
20.07,2016-02-26 09:52:04,20.07,20.07,20.07,5900
20.06,2016-02-26 09:52:07,20.06,20.06,20.06,400
20.06,2016-02-26 09:52:10,20.06,20.06,20.06,900
20.07,2016-02-26 09:52:12,20.07,20.07,20.07,500
20.07,2016-02-26 09:52:15,20.07,20.07,20.07,300
20.04,2016-02-26 09:52:18,20.04,20.04,20.04,3400
20.07,2016-02-26 09:52:21,20.07,20.07,20.07,9000
20.06,2016-02-26 09:52:25,20.06,20.06,20.06,10600
20.06,2016-02-26 09:52:28,20.06,20.06,20.06,0
20.06,2016-02-26 09:52:31,20.06,20.06,20.06,4100
20.04,2016-02-26 09:52:34,20.04,20.04,20.04,14000
20.06,2016-02-26 09:52:37,20.06,20.06,20.06,5200
20.04,2016-02-26 09:52:39,20.04,20.04,20.04,800
20.03,2016-02-26 09:52:43,20.03,20.03,20.03,3000
20.03,2016-02-26 09:52:46,20.03,20.03,20.03,1500
20.03,2016-02-26 09:52:49,20.03,20.03,20.03,300
20.03,2016-02-26 09:52:51,20.03,20.03,20.03,10300
20.01,2016-02-26 09:52:55,20.01,20.01,20.01,9500
20.02,2016-02-26 09:52:57,20.02,20.02,20.02,500
20.01,2016-02-26 09:53:01,20.01,20.01,20.01,900
20.01,2016-02-26 09:53:04,20.01,20.01,20.01,9000
20.0,2016-02-26 09:53:06,20.0,20.0,20.0,14200
20.0,2016-02-26 09:53:10,20.0,20.0,20.0,8000
20.0,2016-02-26 09:53:12,20.0,20.0,20.0,1900
20.01,2016-02-26 09:53:16,20.01,20.01,20.01,1100
19.95,2016-02-26 09:53:19,19.95,19.95,19.95,65100
20.01,2016-02-26 09:53:22,20.01,20.01,20.01,100
20.0,2016-02-26 09:53:24,20.0,20.0,20.0,1300
20.0,2016-02-26 09:53:28,20.0,20.0,20.0,2000
20.0,2016-02-26 09:53:31,20.0,20.0,20.0,0
20.0,2016-02-26 09:53:34,20.0,20.0,20.0,0
19.99,2016-02-26 09:53:36,19.99,19.99,19.99,200
20.0,2016-02-26 09:53:40,20.0,20.0,20.0,3400
20.0,2016-02-26 09:53:43,20.0,20.0,20.0,7600
20.0,2016-02-26 09:53:46,20.0,20.0,20.0,1000
20.0,2016-02-26 09:53:49,20.0,20.0,20.0,0
20.0,2016-02-26 09:53:52,20.0,20.0,20.0,0
20.0,2016-02-26 09:53:55,20.0,20.0,20.0,0
19.99,2016-02-26 09:53:58,19.99,19.99,19.99,5600
19.99,2016-02-26 09:54:01,19.99,19.99,19.99,1000
19.99,2016-02-26 09:54:03,19.99,19.99,19.99,0
19.97,2016-02-26 09:54:06,19.97,19.97,19.97,10300
19.97,2016-02-26 09:54:09,19.97,19.97,19.97,2900
19.96,2016-02-26 09:54:13,19.96,19.96,19.96,1700
20.01,2016-02-26 09:54:15,20.01,20.01,20.01,29000
19.96,2016-02-26 09:54:17,19.96,19.96,19.96,10200
19.96,2016-02-26 09:54:22,19.96,19.96,19.96,0
20.0,2016-02-26 09:54:25,20.0,20.0,20.0,500
20.01,2016-02-26 09:54:28,20.01,20.01,20.01,1400
20.01,2016-02-26 09:54:29,20.01,20.01,20.01,800
20.0,2016-02-26 09:54:34,20.0,20.0,20.0,500
20.0,2016-02-26 09:54:35,20.0,20.0,20.0,0
20.0,2016-02-26 09:54:38,20.0,20.0,20.0,0
20.06,2016-02-26 09:54:42,20.06,20.06,20.06,20000
20.0,2016-02-26 09:54:46,20.0,20.0,20.0,4700
20.0,2016-02-26 09:54:48,20.0,20.0,20.0,300
20.02,2016-02-26 09:54:52,20.02,20.02,20.02,1000
20.02,2016-02-26 09:54:54,20.02,20.02,20.02,9600
20.0,2016-02-26 09:54:57,20.0,20.0,20.0,1100
20.0,2016-02-26 09:54:59,20.0,20.0,20.0,2600
20.07,2016-02-26 09:55:04,20.07,20.07,20.07,2700
20.07,2016-02-26 09:55:06,20.07,20.07,20.07,0
20.02,2016-02-26 09:55:09,20.02,20.02,20.02,700
20.02,2016-02-26 09:55:13,20.02,20.02,20.02,0
20.01,2016-02-26 09:55:15,20.01,20.01,20.01,6200
