Close,Date Time,High,Low,Open,Volume
26.5,2016-03-02 09:26:17,26.5,26.5,26.5,0
26.5,2016-03-02 09:30:00,26.5,26.5,26.5,0
26.4,2016-03-02 09:30:02,26.4,26.4,26.4,13200
26.48,2016-03-02 09:30:03,26.48,26.48,26.48,24100
26.44,2016-03-02 09:30:06,26.44,26.44,26.44,84000
26.39,2016-03-02 09:30:12,26.39,26.39,26.39,9600
26.2,2016-03-02 09:30:15,26.2,26.2,26.2,9000
26.35,2016-03-02 09:30:18,26.35,26.35,26.35,300
26.35,2016-03-02 09:30:21,26.35,26.35,26.35,900
26.33,2016-03-02 09:30:24,26.33,26.33,26.33,3700
26.33,2016-03-02 09:30:27,26.33,26.33,26.33,0
26.33,2016-03-02 09:30:30,26.33,26.33,26.33,1200
26.39,2016-03-02 09:30:33,26.39,26.39,26.39,8300
26.39,2016-03-02 09:30:36,26.39,26.39,26.39,1100
26.46,2016-03-02 09:30:39,26.46,26.46,26.46,500
26.39,2016-03-02 09:30:42,26.39,26.39,26.39,1100
26.44,2016-03-02 09:30:45,26.44,26.44,26.44,10200
26.44,2016-03-02 09:30:48,26.44,26.44,26.44,10300
26.45,2016-03-02 09:30:51,26.45,26.45,26.45,100
26.44,2016-03-02 09:30:54,26.44,26.44,26.44,8100
26.46,2016-03-02 09:30:57,26.46,26.46,26.46,4800
26.46,2016-03-02 09:31:00,26.46,26.46,26.46,9800
26.46,2016-03-02 09:31:03,26.46,26.46,26.46,16100
26.47,2016-03-02 09:31:06,26.47,26.47,26.47,900
26.47,2016-03-02 09:31:09,26.47,26.47,26.47,6500
26.75,2016-03-02 09:31:12,26.75,26.75,26.75,300
26.46,2016-03-02 09:31:15,26.46,26.46,26.46,7000
26.59,2016-03-02 09:31:18,26.59,26.59,26.59,500
26.59,2016-03-02 09:31:21,26.59,26.59,26.59,400
26.75,2016-03-02 09:31:24,26.75,26.75,26.75,1900
26.75,2016-03-02 09:31:27,26.75,26.75,26.75,2000
26.8,2016-03-02 09:31:30,26.8,26.8,26.8,100
26.75,2016-03-02 09:31:33,26.75,26.75,26.75,200
26.75,2016-03-02 09:31:36,26.75,26.75,26.75,0
26.8,2016-03-02 09:31:39,26.8,26.8,26.8,3700
26.8,2016-03-02 09:31:42,26.8,26.8,26.8,9900
26.8,2016-03-02 09:31:45,26.8,26.8,26.8,1900
26.75,2016-03-02 09:31:48,26.75,26.75,26.75,32300
