Close,Date Time,High,Low,Open,Volume
3.15,2016-02-29 09:36:22,3.15,3.15,3.15,0
3.14,2016-02-29 09:36:25,3.14,3.14,3.14,146000
3.14,2016-02-29 09:36:28,3.14,3.14,3.14,65700
3.14,2016-02-29 09:36:31,3.14,3.14,3.14,19200
3.15,2016-02-29 09:36:34,3.15,3.15,3.15,2500
3.14,2016-02-29 09:36:37,3.14,3.14,3.14,58700
3.14,2016-02-29 09:36:40,3.14,3.14,3.14,35000
3.14,2016-02-29 09:36:43,3.14,3.14,3.14,0
3.14,2016-02-29 09:36:46,3.14,3.14,3.14,13300
3.14,2016-02-29 09:36:49,3.14,3.14,3.14,0
3.14,2016-02-29 09:36:52,3.14,3.14,3.14,34400
3.15,2016-02-29 09:36:55,3.15,3.15,3.15,1500
3.14,2016-02-29 09:36:58,3.14,3.14,3.14,120800
3.14,2016-02-29 09:37:01,3.14,3.14,3.14,89600
3.14,2016-02-29 09:37:04,3.14,3.14,3.14,1100
3.15,2016-02-29 09:37:07,3.15,3.15,3.15,5400
3.14,2016-02-29 09:37:10,3.14,3.14,3.14,17300
3.15,2016-02-29 09:37:13,3.15,3.15,3.15,3500
3.15,2016-02-29 09:37:16,3.15,3.15,3.15,2600
3.14,2016-02-29 09:37:19,3.14,3.14,3.14,5500
3.14,2016-02-29 09:37:22,3.14,3.14,3.14,1900
3.14,2016-02-29 09:37:25,3.14,3.14,3.14,4800
3.14,2016-02-29 09:37:28,3.14,3.14,3.14,5610
3.14,2016-02-29 09:37:31,3.14,3.14,3.14,1500
3.14,2016-02-29 09:37:34,3.14,3.14,3.14,12300
3.15,2016-02-29 09:37:37,3.15,3.15,3.15,2700
3.14,2016-02-29 09:37:40,3.14,3.14,3.14,172500
3.14,2016-02-29 09:37:43,3.14,3.14,3.14,151600
3.14,2016-02-29 09:37:46,3.14,3.14,3.14,20600
3.14,2016-02-29 09:37:49,3.14,3.14,3.14,22400
3.14,2016-02-29 09:37:52,3.14,3.14,3.14,510200
3.14,2016-02-29 09:37:55,3.14,3.14,3.14,12000
3.14,2016-02-29 09:37:58,3.14,3.14,3.14,1660280
3.14,2016-02-29 09:38:01,3.14,3.14,3.14,8000
3.13,2016-02-29 09:38:04,3.13,3.13,3.13,1000
3.13,2016-02-29 09:38:07,3.13,3.13,3.13,0
3.14,2016-02-29 09:38:10,3.14,3.14,3.14,300
3.13,2016-02-29 09:38:13,3.13,3.13,3.13,2900
3.14,2016-02-29 09:38:16,3.14,3.14,3.14,4200
3.14,2016-02-29 09:38:19,3.14,3.14,3.14,500500
3.13,2016-02-29 09:38:22,3.13,3.13,3.13,4100
3.14,2016-02-29 09:38:25,3.14,3.14,3.14,16000
3.14,2016-02-29 09:38:28,3.14,3.14,3.14,0
3.13,2016-02-29 09:38:32,3.13,3.13,3.13,28700
3.13,2016-02-29 09:38:34,3.13,3.13,3.13,39800
3.14,2016-02-29 09:38:37,3.14,3.14,3.14,500000
3.13,2016-02-29 09:38:40,3.13,3.13,3.13,2800
3.13,2016-02-29 09:38:43,3.13,3.13,3.13,9300
3.13,2016-02-29 09:38:46,3.13,3.13,3.13,16600
3.14,2016-02-29 09:38:49,3.14,3.14,3.14,601100
3.13,2016-02-29 09:38:52,3.13,3.13,3.13,41800
3.14,2016-02-29 09:38:55,3.14,3.14,3.14,2800
3.13,2016-02-29 09:38:58,3.13,3.13,3.13,17300
3.13,2016-02-29 09:39:01,3.13,3.13,3.13,71800
3.13,2016-02-29 09:39:04,3.13,3.13,3.13,471500
3.13,2016-02-29 09:39:07,3.13,3.13,3.13,31900
3.13,2016-02-29 09:39:10,3.13,3.13,3.13,34700
3.13,2016-02-29 09:39:13,3.13,3.13,3.13,39900
3.13,2016-02-29 09:39:16,3.13,3.13,3.13,22100
3.13,2016-02-29 09:39:19,3.13,3.13,3.13,13000
3.14,2016-02-29 09:39:22,3.14,3.14,3.14,16900
3.14,2016-02-29 09:39:25,3.14,3.14,3.14,403920
3.14,2016-02-29 09:39:28,3.14,3.14,3.14,144300
3.14,2016-02-29 09:39:31,3.14,3.14,3.14,103000
3.14,2016-02-29 09:39:34,3.14,3.14,3.14,11200
3.13,2016-02-29 09:39:37,3.13,3.13,3.13,1085000
3.13,2016-02-29 09:39:40,3.13,3.13,3.13,5000
3.14,2016-02-29 09:39:43,3.14,3.14,3.14,30800
3.13,2016-02-29 09:39:46,3.13,3.13,3.13,12100
3.13,2016-02-29 09:39:49,3.13,3.13,3.13,7500
3.14,2016-02-29 09:39:52,3.14,3.14,3.14,10200
3.14,2016-02-29 09:39:55,3.14,3.14,3.14,90801
3.14,2016-02-29 09:39:58,3.14,3.14,3.14,12000
3.13,2016-02-29 09:40:01,3.13,3.13,3.13,611099
3.14,2016-02-29 09:40:04,3.14,3.14,3.14,11400
3.14,2016-02-29 09:40:07,3.14,3.14,3.14,42500
3.14,2016-02-29 09:40:10,3.14,3.14,3.14,0
3.13,2016-02-29 09:40:13,3.13,3.13,3.13,41100
3.13,2016-02-29 09:40:16,3.13,3.13,3.13,19300
3.13,2016-02-29 09:40:19,3.13,3.13,3.13,58700
3.14,2016-02-29 09:40:22,3.14,3.14,3.14,41400
3.13,2016-02-29 09:40:25,3.13,3.13,3.13,171300
3.13,2016-02-29 09:40:28,3.13,3.13,3.13,40400
3.14,2016-02-29 09:40:31,3.14,3.14,3.14,68100
3.13,2016-02-29 09:40:34,3.13,3.13,3.13,30900
3.13,2016-02-29 09:40:37,3.13,3.13,3.13,39900
3.13,2016-02-29 09:40:40,3.13,3.13,3.13,92800
3.14,2016-02-29 09:40:43,3.14,3.14,3.14,43300
3.13,2016-02-29 09:40:46,3.13,3.13,3.13,765700
3.13,2016-02-29 09:40:49,3.13,3.13,3.13,24300
3.13,2016-02-29 09:40:52,3.13,3.13,3.13,187100
3.14,2016-02-29 09:40:55,3.14,3.14,3.14,46400
3.13,2016-02-29 09:40:58,3.13,3.13,3.13,5700
3.14,2016-02-29 09:41:01,3.14,3.14,3.14,514300
3.13,2016-02-29 09:41:04,3.13,3.13,3.13,175780
3.13,2016-02-29 09:41:07,3.13,3.13,3.13,8000
3.13,2016-02-29 09:41:10,3.13,3.13,3.13,16100
3.13,2016-02-29 09:41:13,3.13,3.13,3.13,3800
3.13,2016-02-29 09:41:16,3.13,3.13,3.13,3900
3.12,2016-02-29 09:41:19,3.12,3.12,3.12,9000
3.12,2016-02-29 09:41:22,3.12,3.12,3.12,8400
3.12,2016-02-29 09:41:25,3.12,3.12,3.12,18300
3.13,2016-02-29 09:41:28,3.13,3.13,3.13,6100
3.13,2016-02-29 09:41:31,3.13,3.13,3.13,39000
3.13,2016-02-29 09:41:34,3.13,3.13,3.13,13600
3.12,2016-02-29 09:41:37,3.12,3.12,3.12,56100
3.12,2016-02-29 09:41:40,3.12,3.12,3.12,18400
3.12,2016-02-29 09:41:43,3.12,3.12,3.12,1061800
3.12,2016-02-29 09:41:46,3.12,3.12,3.12,10900
3.13,2016-02-29 09:41:49,3.13,3.13,3.13,94400
3.12,2016-02-29 09:41:52,3.12,3.12,3.12,8300
3.12,2016-02-29 09:41:55,3.12,3.12,3.12,31400
3.13,2016-02-29 09:41:58,3.13,3.13,3.13,100000
3.13,2016-02-29 09:42:01,3.13,3.13,3.13,1819820
3.12,2016-02-29 09:42:04,3.12,3.12,3.12,298380
3.12,2016-02-29 09:42:07,3.12,3.12,3.12,80000
3.12,2016-02-29 09:42:10,3.12,3.12,3.12,31300
3.12,2016-02-29 09:42:13,3.12,3.12,3.12,26200
3.12,2016-02-29 09:42:16,3.12,3.12,3.12,1700
3.12,2016-02-29 09:42:19,3.12,3.12,3.12,21650
3.12,2016-02-29 09:42:22,3.12,3.12,3.12,20800
3.12,2016-02-29 09:42:25,3.12,3.12,3.12,24000
3.12,2016-02-29 09:42:28,3.12,3.12,3.12,70500
3.11,2016-02-29 09:42:31,3.11,3.11,3.11,39400
3.13,2016-02-29 09:42:34,3.13,3.13,3.13,900620
3.13,2016-02-29 09:42:37,3.13,3.13,3.13,215500
3.13,2016-02-29 09:42:40,3.13,3.13,3.13,3400
3.13,2016-02-29 09:42:43,3.13,3.13,3.13,22300
3.14,2016-02-29 09:42:46,3.14,3.14,3.14,23600
3.13,2016-02-29 09:42:49,3.13,3.13,3.13,90800
3.13,2016-02-29 09:42:52,3.13,3.13,3.13,34800
3.13,2016-02-29 09:42:55,3.13,3.13,3.13,109411
3.13,2016-02-29 09:42:58,3.13,3.13,3.13,72300
