Close,Date Time,High,Low,Open,Volume
16.74,2016-02-29 09:36:22,16.74,16.74,16.74,0
16.68,2016-02-29 09:36:25,16.68,16.68,16.68,23200
16.66,2016-02-29 09:36:28,16.66,16.66,16.66,21400
16.7,2016-02-29 09:36:31,16.7,16.7,16.7,68900
16.65,2016-02-29 09:36:34,16.65,16.65,16.65,76900
16.64,2016-02-29 09:36:37,16.64,16.64,16.64,36400
16.61,2016-02-29 09:36:40,16.61,16.61,16.61,18600
16.66,2016-02-29 09:36:43,16.66,16.66,16.66,51700
16.68,2016-02-29 09:36:46,16.68,16.68,16.68,50600
16.63,2016-02-29 09:36:49,16.63,16.63,16.63,24600
16.63,2016-02-29 09:36:52,16.63,16.63,16.63,31300
16.63,2016-02-29 09:36:55,16.63,16.63,16.63,35200
16.6,2016-02-29 09:36:58,16.6,16.6,16.6,34800
16.61,2016-02-29 09:37:01,16.61,16.61,16.61,35500
16.65,2016-02-29 09:37:04,16.65,16.65,16.65,40824
16.63,2016-02-29 09:37:07,16.63,16.63,16.63,73000
16.61,2016-02-29 09:37:10,16.61,16.61,16.61,83376
16.61,2016-02-29 09:37:13,16.61,16.61,16.61,29500
16.53,2016-02-29 09:37:16,16.53,16.53,16.53,60900
16.61,2016-02-29 09:37:19,16.61,16.61,16.61,54400
16.55,2016-02-29 09:37:22,16.55,16.55,16.55,45800
16.58,2016-02-29 09:37:25,16.58,16.58,16.58,45800
16.5,2016-02-29 09:37:28,16.5,16.5,16.5,45500
16.54,2016-02-29 09:37:31,16.54,16.54,16.54,50700
16.55,2016-02-29 09:37:34,16.55,16.55,16.55,34700
16.47,2016-02-29 09:37:37,16.47,16.47,16.47,17900
16.4,2016-02-29 09:37:40,16.4,16.4,16.4,31800
16.48,2016-02-29 09:37:43,16.48,16.48,16.48,23600
16.5,2016-02-29 09:37:46,16.5,16.5,16.5,35500
16.45,2016-02-29 09:37:49,16.45,16.45,16.45,18800
16.4,2016-02-29 09:37:52,16.4,16.4,16.4,22300
16.41,2016-02-29 09:37:55,16.41,16.41,16.41,24500
16.46,2016-02-29 09:37:58,16.46,16.46,16.46,31500
16.36,2016-02-29 09:38:01,16.36,16.36,16.36,24300
16.36,2016-02-29 09:38:04,16.36,16.36,16.36,19000
16.36,2016-02-29 09:38:07,16.36,16.36,16.36,19600
16.22,2016-02-29 09:38:10,16.22,16.22,16.22,50000
16.31,2016-02-29 09:38:13,16.31,16.31,16.31,29200
16.3,2016-02-29 09:38:16,16.3,16.3,16.3,32600
16.25,2016-02-29 09:38:19,16.25,16.25,16.25,49300
16.28,2016-02-29 09:38:22,16.28,16.28,16.28,21200
16.2,2016-02-29 09:38:25,16.2,16.2,16.2,39400
16.2,2016-02-29 09:38:28,16.2,16.2,16.2,36700
16.12,2016-02-29 09:38:31,16.12,16.12,16.12,96200
16.18,2016-02-29 09:38:34,16.18,16.18,16.18,55000
16.13,2016-02-29 09:38:37,16.13,16.13,16.13,9200
16.25,2016-02-29 09:38:40,16.25,16.25,16.25,43900
16.23,2016-02-29 09:38:43,16.23,16.23,16.23,56300
16.11,2016-02-29 09:38:46,16.11,16.11,16.11,47800
16.11,2016-02-29 09:38:49,16.11,16.11,16.11,41400
16.18,2016-02-29 09:38:52,16.18,16.18,16.18,65400
16.2,2016-02-29 09:38:55,16.2,16.2,16.2,18300
16.17,2016-02-29 09:38:58,16.17,16.17,16.17,45300
16.15,2016-02-29 09:39:01,16.15,16.15,16.15,66700
16.15,2016-02-29 09:39:04,16.15,16.15,16.15,40800
16.2,2016-02-29 09:39:07,16.2,16.2,16.2,21900
16.17,2016-02-29 09:39:10,16.17,16.17,16.17,30400
16.22,2016-02-29 09:39:13,16.22,16.22,16.22,67500
16.23,2016-02-29 09:39:16,16.23,16.23,16.23,24400
16.25,2016-02-29 09:39:19,16.25,16.25,16.25,75300
16.23,2016-02-29 09:39:22,16.23,16.23,16.23,91200
16.28,2016-02-29 09:39:25,16.28,16.28,16.28,9700
16.27,2016-02-29 09:39:28,16.27,16.27,16.27,20000
16.28,2016-02-29 09:39:31,16.28,16.28,16.28,10200
16.27,2016-02-29 09:39:34,16.27,16.27,16.27,18950
16.26,2016-02-29 09:39:37,16.26,16.26,16.26,10800
16.3,2016-02-29 09:39:40,16.3,16.3,16.3,29400
16.34,2016-02-29 09:39:43,16.34,16.34,16.34,9600
16.29,2016-02-29 09:39:46,16.29,16.29,16.29,24500
16.3,2016-02-29 09:39:49,16.3,16.3,16.3,9000
16.35,2016-02-29 09:39:52,16.35,16.35,16.35,19200
16.35,2016-02-29 09:39:55,16.35,16.35,16.35,8400
16.35,2016-02-29 09:39:58,16.35,16.35,16.35,11100
16.35,2016-02-29 09:40:01,16.35,16.35,16.35,16400
16.35,2016-02-29 09:40:04,16.35,16.35,16.35,22800
16.35,2016-02-29 09:40:07,16.35,16.35,16.35,30100
16.34,2016-02-29 09:40:10,16.34,16.34,16.34,20000
16.38,2016-02-29 09:40:13,16.38,16.38,16.38,20600
16.3,2016-02-29 09:40:16,16.3,16.3,16.3,78700
16.3,2016-02-29 09:40:19,16.3,16.3,16.3,21800
16.3,2016-02-29 09:40:22,16.3,16.3,16.3,12300
16.3,2016-02-29 09:40:25,16.3,16.3,16.3,85800
16.34,2016-02-29 09:40:28,16.34,16.34,16.34,32100
16.28,2016-02-29 09:40:31,16.28,16.28,16.28,36100
16.33,2016-02-29 09:40:34,16.33,16.33,16.33,19000
16.28,2016-02-29 09:40:37,16.28,16.28,16.28,28200
16.28,2016-02-29 09:40:40,16.28,16.28,16.28,20600
16.3,2016-02-29 09:40:43,16.3,16.3,16.3,17200
16.28,2016-02-29 09:40:46,16.28,16.28,16.28,20500
16.3,2016-02-29 09:40:49,16.3,16.3,16.3,6900
16.26,2016-02-29 09:40:52,16.26,16.26,16.26,25900
