Close,Date Time,High,Low,Open,Volume
28.5,2016-02-29 09:36:22,28.5,28.5,28.5,0
28.5,2016-02-29 09:36:25,28.5,28.5,28.5,5100
28.46,2016-02-29 09:36:28,28.46,28.46,28.46,4500
28.5,2016-02-29 09:36:31,28.5,28.5,28.5,13500
28.42,2016-02-29 09:36:34,28.42,28.42,28.42,4500
28.22,2016-02-29 09:36:37,28.22,28.22,28.22,23000
28.35,2016-02-29 09:36:40,28.35,28.35,28.35,1700
28.32,2016-02-29 09:36:43,28.32,28.32,28.32,2200
28.3,2016-02-29 09:36:46,28.3,28.3,28.3,500
28.2,2016-02-29 09:36:49,28.2,28.2,28.2,4900
28.22,2016-02-29 09:36:52,28.22,28.22,28.22,9000
28.18,2016-02-29 09:36:55,28.18,28.18,28.18,3600
28.13,2016-02-29 09:36:58,28.13,28.13,28.13,4500
28.13,2016-02-29 09:37:01,28.13,28.13,28.13,3200
28.1,2016-02-29 09:37:04,28.1,28.1,28.1,4300
28.0,2016-02-29 09:37:07,28.0,28.0,28.0,13300
28.04,2016-02-29 09:37:10,28.04,28.04,28.04,7400
28.05,2016-02-29 09:37:13,28.05,28.05,28.05,6400
28.01,2016-02-29 09:37:16,28.01,28.01,28.01,1400
28.01,2016-02-29 09:37:19,28.01,28.01,28.01,2500
28.0,2016-02-29 09:37:22,28.0,28.0,28.0,7400
28.0,2016-02-29 09:37:25,28.0,28.0,28.0,19000
27.93,2016-02-29 09:37:28,27.93,27.93,27.93,5400
27.93,2016-02-29 09:37:31,27.93,27.93,27.93,5600
28.0,2016-02-29 09:37:34,28.0,28.0,28.0,15200
27.81,2016-02-29 09:37:37,27.81,27.81,27.81,8200
27.8,2016-02-29 09:37:40,27.8,27.8,27.8,600
27.85,2016-02-29 09:37:43,27.85,27.85,27.85,1700
27.8,2016-02-29 09:37:46,27.8,27.8,27.8,3300
27.8,2016-02-29 09:37:49,27.8,27.8,27.8,4900
27.8,2016-02-29 09:37:52,27.8,27.8,27.8,3800
27.79,2016-02-29 09:37:55,27.79,27.79,27.79,10900
27.6,2016-02-29 09:37:58,27.6,27.6,27.6,1500
27.66,2016-02-29 09:38:01,27.66,27.66,27.66,5000
27.5,2016-02-29 09:38:04,27.5,27.5,27.5,16300
27.51,2016-02-29 09:38:07,27.51,27.51,27.51,13700
27.45,2016-02-29 09:38:10,27.45,27.45,27.45,11000
27.5,2016-02-29 09:38:13,27.5,27.5,27.5,5300
27.45,2016-02-29 09:38:16,27.45,27.45,27.45,5800
27.5,2016-02-29 09:38:19,27.5,27.5,27.5,41900
27.32,2016-02-29 09:38:22,27.32,27.32,27.32,2900
27.2,2016-02-29 09:38:25,27.2,27.2,27.2,14000
27.21,2016-02-29 09:38:28,27.21,27.21,27.21,4700
27.21,2016-02-29 09:38:31,27.21,27.21,27.21,8800
27.15,2016-02-29 09:38:34,27.15,27.15,27.15,19600
27.15,2016-02-29 09:38:37,27.15,27.15,27.15,2300
27.0,2016-02-29 09:38:40,27.0,27.0,27.0,12100
27.2,2016-02-29 09:38:43,27.2,27.2,27.2,13300
27.05,2016-02-29 09:38:46,27.05,27.05,27.05,7800
26.88,2016-02-29 09:38:49,26.88,26.88,26.88,17200
26.88,2016-02-29 09:38:52,26.88,26.88,26.88,3800
26.88,2016-02-29 09:38:55,26.88,26.88,26.88,12000
26.78,2016-02-29 09:38:58,26.78,26.78,26.78,2300
26.85,2016-02-29 09:39:01,26.85,26.85,26.85,12700
26.53,2016-02-29 09:39:04,26.53,26.53,26.53,9800
26.83,2016-02-29 09:39:07,26.83,26.83,26.83,19700
26.5,2016-02-29 09:39:10,26.5,26.5,26.5,9400
26.78,2016-02-29 09:39:13,26.78,26.78,26.78,18946
26.85,2016-02-29 09:39:16,26.85,26.85,26.85,13500
26.7,2016-02-29 09:39:19,26.7,26.7,26.7,11600
26.7,2016-02-29 09:39:22,26.7,26.7,26.7,12800
26.78,2016-02-29 09:39:25,26.78,26.78,26.78,14000
26.78,2016-02-29 09:39:28,26.78,26.78,26.78,19700
26.7,2016-02-29 09:39:31,26.7,26.7,26.7,17100
26.59,2016-02-29 09:39:34,26.59,26.59,26.59,17400
26.53,2016-02-29 09:39:37,26.53,26.53,26.53,22600
26.78,2016-02-29 09:39:40,26.78,26.78,26.78,15700
26.78,2016-02-29 09:39:43,26.78,26.78,26.78,10100
26.58,2016-02-29 09:39:46,26.58,26.58,26.58,7500
26.6,2016-02-29 09:39:49,26.6,26.6,26.6,23000
26.69,2016-02-29 09:39:52,26.69,26.69,26.69,23200
26.78,2016-02-29 09:39:55,26.78,26.78,26.78,13200
26.78,2016-02-29 09:39:58,26.78,26.78,26.78,21433
26.6,2016-02-29 09:40:01,26.6,26.6,26.6,8500
26.58,2016-02-29 09:40:04,26.58,26.58,26.58,14000
26.53,2016-02-29 09:40:07,26.53,26.53,26.53,23200
26.78,2016-02-29 09:40:10,26.78,26.78,26.78,1100
26.7,2016-02-29 09:40:13,26.7,26.7,26.7,21800
26.78,2016-02-29 09:40:16,26.78,26.78,26.78,15800
27.1,2016-02-29 09:40:19,27.1,27.1,27.1,33000
27.0,2016-02-29 09:40:22,27.0,27.0,27.0,4750
27.07,2016-02-29 09:40:25,27.07,27.07,27.07,4200
27.0,2016-02-29 09:40:28,27.0,27.0,27.0,25700
26.8,2016-02-29 09:40:31,26.8,26.8,26.8,3600
26.8,2016-02-29 09:40:34,26.8,26.8,26.8,11200
27.07,2016-02-29 09:40:37,27.07,27.07,27.07,7300
26.73,2016-02-29 09:40:40,26.73,26.73,26.73,18700
27.1,2016-02-29 09:40:43,27.1,27.1,27.1,6900
27.1,2016-02-29 09:40:46,27.1,27.1,27.1,4600
27.0,2016-02-29 09:40:49,27.0,27.0,27.0,10900
27.07,2016-02-29 09:40:52,27.07,27.07,27.07,2100
27.08,2016-02-29 09:40:55,27.08,27.08,27.08,2000
