Close,Date Time,High,Low,Open,Volume
9.05,2016-03-11 09:46:20,9.05,9.05,9.05,0
9.05,2016-03-11 09:46:23,9.05,9.05,9.05,17000
9.05,2016-03-11 09:46:26,9.05,9.05,9.05,0
9.05,2016-03-11 09:46:29,9.05,9.05,9.05,500
9.05,2016-03-11 09:46:32,9.05,9.05,9.05,12400
9.04,2016-03-11 09:46:35,9.04,9.04,9.04,6400
9.04,2016-03-11 09:46:38,9.04,9.04,9.04,3400
9.04,2016-03-11 09:46:41,9.04,9.04,9.04,0
9.04,2016-03-11 09:46:44,9.04,9.04,9.04,0
9.04,2016-03-11 09:46:47,9.04,9.04,9.04,32600
9.04,2016-03-11 09:46:50,9.04,9.04,9.04,11000
9.05,2016-03-11 09:46:53,9.05,9.05,9.05,9700
9.03,2016-03-11 09:46:56,9.03,9.03,9.03,16800
9.03,2016-03-11 09:46:59,9.03,9.03,9.03,0
9.04,2016-03-11 09:47:02,9.04,9.04,9.04,16900
9.04,2016-03-11 09:47:05,9.04,9.04,9.04,200
9.05,2016-03-11 09:47:08,9.05,9.05,9.05,1900
9.04,2016-03-11 09:47:11,9.04,9.04,9.04,6600
9.04,2016-03-11 09:47:14,9.04,9.04,9.04,0
9.04,2016-03-11 09:47:17,9.04,9.04,9.04,0
9.04,2016-03-11 09:47:20,9.04,9.04,9.04,200
9.03,2016-03-11 09:47:23,9.03,9.03,9.03,6000
9.03,2016-03-11 09:47:26,9.03,9.03,9.03,0
9.04,2016-03-11 09:47:29,9.04,9.04,9.04,4700
9.04,2016-03-11 09:47:32,9.04,9.04,9.04,100
9.04,2016-03-11 09:47:35,9.04,9.04,9.04,1500
9.04,2016-03-11 09:47:38,9.04,9.04,9.04,0
9.03,2016-03-11 09:47:41,9.03,9.03,9.03,3100
9.02,2016-03-11 09:47:44,9.02,9.02,9.02,15500
9.03,2016-03-11 09:47:47,9.03,9.03,9.03,13200
9.04,2016-03-11 09:47:50,9.04,9.04,9.04,6500
9.04,2016-03-11 09:47:53,9.04,9.04,9.04,100
9.03,2016-03-11 09:47:56,9.03,9.03,9.03,4600
9.03,2016-03-11 09:47:59,9.03,9.03,9.03,0
9.04,2016-03-11 09:48:02,9.04,9.04,9.04,21400
9.04,2016-03-11 09:48:05,9.04,9.04,9.04,10400
9.04,2016-03-11 09:48:08,9.04,9.04,9.04,0
9.02,2016-03-11 09:48:11,9.02,9.02,9.02,18300
9.02,2016-03-11 09:48:14,9.02,9.02,9.02,0
9.03,2016-03-11 09:48:17,9.03,9.03,9.03,11800
9.03,2016-03-11 09:48:20,9.03,9.03,9.03,2900
9.03,2016-03-11 09:48:23,9.03,9.03,9.03,54100
9.04,2016-03-11 09:48:26,9.04,9.04,9.04,6000
9.03,2016-03-11 09:48:29,9.03,9.03,9.03,28000
9.03,2016-03-11 09:48:32,9.03,9.03,9.03,33700
9.03,2016-03-11 09:48:35,9.03,9.03,9.03,8900
9.03,2016-03-11 09:48:38,9.03,9.03,9.03,3500
9.04,2016-03-11 09:48:41,9.04,9.04,9.04,12600
9.04,2016-03-11 09:48:44,9.04,9.04,9.04,0
9.02,2016-03-11 09:48:47,9.02,9.02,9.02,48100
9.02,2016-03-11 09:48:50,9.02,9.02,9.02,2300
9.03,2016-03-11 09:48:53,9.03,9.03,9.03,20500
9.04,2016-03-11 09:48:56,9.04,9.04,9.04,23400
9.04,2016-03-11 09:48:59,9.04,9.04,9.04,95700
9.04,2016-03-11 09:49:02,9.04,9.04,9.04,9300
9.04,2016-03-11 09:49:05,9.04,9.04,9.04,30000
9.03,2016-03-11 09:49:08,9.03,9.03,9.03,11800
9.03,2016-03-11 09:49:11,9.03,9.03,9.03,17700
9.03,2016-03-11 09:49:14,9.03,9.03,9.03,1165
9.04,2016-03-11 09:49:17,9.04,9.04,9.04,8700
9.03,2016-03-11 09:49:20,9.03,9.03,9.03,5700
9.03,2016-03-11 09:49:23,9.03,9.03,9.03,0
9.03,2016-03-11 09:49:26,9.03,9.03,9.03,8200
9.03,2016-03-11 09:49:29,9.03,9.03,9.03,600
9.03,2016-03-11 09:49:32,9.03,9.03,9.03,32200
9.03,2016-03-11 09:49:35,9.03,9.03,9.03,41900
9.03,2016-03-11 09:49:38,9.03,9.03,9.03,5100
9.04,2016-03-11 09:49:41,9.04,9.04,9.04,24400
9.03,2016-03-11 09:49:44,9.03,9.03,9.03,1000
9.03,2016-03-11 09:49:47,9.03,9.03,9.03,2400
9.03,2016-03-11 09:49:50,9.03,9.03,9.03,1900
9.04,2016-03-11 09:49:53,9.04,9.04,9.04,1600
9.04,2016-03-11 09:49:56,9.04,9.04,9.04,5300
9.03,2016-03-11 09:49:59,9.03,9.03,9.03,11000
9.03,2016-03-11 09:50:02,9.03,9.03,9.03,22900
9.04,2016-03-11 09:50:05,9.04,9.04,9.04,87500
9.04,2016-03-11 09:50:08,9.04,9.04,9.04,73100
9.03,2016-03-11 09:50:11,9.03,9.03,9.03,75700
9.03,2016-03-11 09:50:14,9.03,9.03,9.03,6000
9.04,2016-03-11 09:50:17,9.04,9.04,9.04,42800
9.04,2016-03-11 09:50:20,9.04,9.04,9.04,22200
9.04,2016-03-11 09:50:23,9.04,9.04,9.04,5800
9.05,2016-03-11 09:50:26,9.05,9.05,9.05,11100
9.05,2016-03-11 09:50:29,9.05,9.05,9.05,0
9.04,2016-03-11 09:50:32,9.04,9.04,9.04,18000
9.04,2016-03-11 09:50:35,9.04,9.04,9.04,1500
9.04,2016-03-11 09:50:38,9.04,9.04,9.04,0
9.05,2016-03-11 09:50:41,9.05,9.05,9.05,11600
9.05,2016-03-11 09:50:44,9.05,9.05,9.05,900
9.04,2016-03-11 09:50:47,9.04,9.04,9.04,69800
9.03,2016-03-11 09:50:50,9.03,9.03,9.03,17200
9.04,2016-03-11 09:50:53,9.04,9.04,9.04,6400
9.04,2016-03-11 09:50:56,9.04,9.04,9.04,28700
9.05,2016-03-11 09:50:59,9.05,9.05,9.05,15500
9.05,2016-03-11 09:51:02,9.05,9.05,9.05,28200
9.05,2016-03-11 09:51:05,9.05,9.05,9.05,4500
9.05,2016-03-11 09:51:08,9.05,9.05,9.05,15500
