,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
6,2055306,125400,20160505,163900,165000,164000,164100,164400,164500,164600,164700,164800,164900,60706,44600,78500,500,12368,6600,5400,1800,1700,15800,163800,162300,163600,163300,163100,163000,162900,162800,162600,162500,500,8600,500,200,1600,1400,3500,1500,1500,1400,163900,179200,0,163900,146600,163900,106,163900,162900,0,79,0,0,92901000,2145011,264800,176000,157720,0,600652,600652.SH,0D09:29:02.252811000
32,2055306,125400,20160505,163900,165000,164000,164100,164400,164500,164600,164700,164800,164900,60706,44600,78500,500,12368,6600,5400,1800,1700,15800,163800,162300,163600,163300,163100,163000,162900,162800,162600,162500,500,8600,500,200,1600,1400,3500,1500,1500,1400,163900,179200,0,163900,146600,163900,106,163900,162900,0,79,0,0,92903000,2145011,264800,176000,157720,0,600652,600652.SH,0D09:29:08.394703000
41,2440351,148900,20160505,163900,165000,164000,164100,164400,164500,164600,164700,164800,164900,50806,45500,78500,500,12868,6600,5400,1800,2700,16800,163600,162500,163500,163300,163200,163100,163000,162900,162800,162600,500,1400,1100,200,300,1600,1700,2500,1500,1500,163900,179200,0,163700,146600,163900,125,163900,162900,0,79,0,0,93002000,2142111,272500,176020,157810,0,600652,600652.SH,0D09:30:02.397606000
52,3570135,217900,20160505,163800,164700,163900,164000,164100,164200,164300,164400,164500,164600,23183,3800,95806,72300,1200,5000,5700,12868,13400,5400,163500,162200,163200,163100,163000,162900,162800,162600,162500,162300,1000,4100,1600,11100,7000,7700,3300,1800,10900,9600,163900,179200,0,163100,146600,163800,238,163900,162900,0,79,0,0,93005000,2325194,410700,175270,158680,0,600652,600652.SH,0D09:30:05.947920000
66,3751927,229000,20160505,163800,164700,163900,164000,164100,164200,164300,164400,164500,164600,20483,3800,97006,22100,1200,5000,5700,12868,13400,5400,163500,162200,163200,163100,163000,162900,162800,162600,162500,162300,1000,4600,1600,11000,7000,7700,3300,1800,10700,9600,163900,179200,0,163100,146600,163800,260,163900,162900,0,79,0,0,93008000,2298094,416400,175450,158690,0,600652,600652.SH,0D09:30:08.757530000
84,3825637,233500,20160505,163800,164700,163900,164000,164100,164200,164300,164400,164500,164600,29083,3800,94706,22100,1200,5000,8200,12868,13500,5400,163500,162200,163200,163100,163000,162900,162800,162600,162500,162300,1000,4600,1700,11000,7000,7700,3300,1800,10700,9600,163900,179200,0,163100,146600,163800,264,163900,162900,0,79,0,0,93011000,2299794,417600,175350,158670,0,600652,600652.SH,0D09:30:11.472625000
96,3855121,235300,20160505,163800,164700,163900,164000,164100,164200,164300,164400,164500,164600,28683,3800,92706,22100,1200,5000,8200,12868,13500,5400,163500,162200,163200,163100,163000,162900,162800,162600,162500,162300,1100,4600,1600,10500,7000,7700,3300,1800,10700,9600,163900,179200,0,163100,146600,163800,268,163900,162900,0,79,0,0,93014000,2297094,418000,175350,158670,0,600652,600652.SH,0D09:30:14.464273000
111,3909169,238600,20160505,163800,164700,163900,164000,164100,164200,164300,164400,164500,164600,25583,3800,92706,20100,1200,5000,8200,12868,13500,5400,163600,162300,163500,163200,163100,163000,162900,162800,162600,162500,500,9600,900,1600,10500,7000,7700,3300,1800,10700,163900,179200,0,163100,146600,163800,277,163900,162900,0,79,0,0,93017000,2290594,418400,175370,158680,0,600652,600652.SH,0D09:30:17.471054000
126,3915721,239000,20160505,163800,164700,163900,164000,164100,164200,164300,164400,164500,164600,24883,3800,92706,20100,1200,5000,8200,12868,13500,5400,163600,162300,163500,163200,163100,163000,162900,162800,162600,162500,500,9600,900,1600,10500,7800,7700,3300,1800,11200,163900,179200,0,163100,146600,163800,278,163900,162900,0,79,0,0,93020000,2288494,420700,175360,158700,0,600652,600652.SH,0D09:30:21.057247000
144,3955019,241400,20160505,163700,164600,163800,163900,164000,164100,164200,164300,164400,164500,5900,5400,24083,92706,20300,1200,5000,8200,12868,13500,163600,162300,163500,163200,163100,163000,162900,162800,162600,162500,500,9600,900,1600,10500,8100,7700,3300,1800,11200,163900,179200,0,163100,146600,163700,283,163900,162900,0,79,0,0,93023000,2293794,421200,175340,158700,0,600652,600652.SH,0D09:30:23.462850000
