,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
0,5011862,1145330,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,72900,20900,141200,556500,51500,60000,60100,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,29100,76700,212200,140000,61000,86200,52500,66900,168800,11100,44000,48200,0,43600,39400,43800,663,43700,43800,0,79,0,0,94834000,3145510,1727500,45670,41940,0,600017,600017.SH,0D09:48:34.357074000
15,5080908,1161130,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,73800,20900,141200,556500,51500,60000,60100,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,14600,76700,212200,142200,61000,86200,52500,66900,169600,11100,44000,48200,0,43600,39400,43700,667,43700,43800,0,79,0,0,94837000,3147410,1716000,45670,41930,0,600017,600017.SH,0D09:48:37.285999000
33,5085726,1162230,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,72700,20900,141200,556500,51500,60000,76500,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,16300,76700,212600,142200,61000,86200,52500,66900,169600,11100,44000,48200,0,43600,39400,43800,669,43700,43800,0,79,0,0,94840000,3162710,1718100,45670,41930,0,600017,600017.SH,0D09:48:40.445596000
45,5085726,1162230,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,72200,20900,141200,556500,51500,60000,76500,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,16300,76700,212800,142200,61000,86200,52500,66900,169600,11100,44000,48200,0,43600,39400,43800,669,43700,43800,0,79,0,0,94843000,3162210,1718300,45670,41930,0,600017,600017.SH,0D09:48:43.381687000
77,5085726,1162230,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,72200,20900,141800,556500,51500,60000,76500,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,22300,76700,212800,141900,60900,86200,52500,64400,169600,11100,44000,48200,0,43600,39400,43800,669,43700,43800,0,79,0,0,94849000,3162810,1721400,45670,41940,0,600017,600017.SH,0D09:48:49.384777000
92,5085726,1162230,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,72200,20900,142300,556500,51500,60000,76500,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,22300,76700,212800,141900,60900,86200,52500,64400,169600,11100,44000,48200,0,43600,39400,43800,669,43700,43800,0,79,0,0,94852000,3163310,1721400,45670,41940,0,600017,600017.SH,0D09:48:52.434453000
107,5085726,1162230,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,72200,20900,142300,566500,51500,60000,76500,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,22300,76700,214300,141900,60900,86200,52500,64400,169600,11100,44000,48200,0,43600,39400,43800,669,43700,43800,0,79,0,0,94855000,3174310,1722900,45660,41940,0,600017,600017.SH,0D09:48:55.352649000
119,5090982,1163430,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,71000,20900,142300,566500,51500,60000,76500,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,22300,76700,214300,141900,60900,86200,57200,64400,169600,11100,44000,48200,0,43600,39400,43800,672,43700,43800,0,79,0,0,94858000,3173110,1737300,45660,41940,0,600017,600017.SH,0D09:48:58.520449000
140,5119452,1169930,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,63600,20900,142300,566500,51500,60000,76500,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,27300,76700,214300,142200,60900,86200,57200,64400,169600,11600,44000,48200,0,43600,39400,43800,674,43700,43800,0,79,0,0,94901000,3166510,1743100,45670,41950,0,600017,600017.SH,0D09:49:01.395831000
155,5120328,1170130,20160503,43800,44700,43900,44000,44100,44200,44300,44400,44500,44600,63400,20900,142300,566500,51500,60000,76500,52100,59000,113000,43700,42800,43600,43500,43400,43300,43200,43100,43000,42900,27300,76700,221900,142200,60900,86200,57200,64400,169600,11600,44000,48200,0,43600,39400,43800,675,43700,43800,0,79,0,0,94904000,3166310,1750700,45670,41950,0,600017,600017.SH,0D09:49:04.420212000
