,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
8,274044493,8314496,20160226,331300,332700,331400,331500,331900,332000,332100,332200,332300,332500,3300,2200,26100,6300,1800,4400,33300,2900,500,200,331100,330000,331000,330700,330600,330500,330400,330300,330200,330100,2400,26700,21600,1000,5000,1200,100,1000,400,4000,334500,350600,0,325000,286800,331300,9823,327200,318700,0,0,19734,0,94401510,1695300,1277901,342600,315900,0,'000738','000738.SZ','0D09:44:05.005166000'
18,274431947,8326196,20160226,331300,332700,331400,331500,331900,332000,332100,332200,332300,332500,5300,2200,26100,7000,1900,4400,32700,3000,500,200,331000,329900,330700,330600,330500,330400,330300,330200,330100,330000,18700,1000,1000,5000,1200,100,1000,400,4000,26800,334500,350600,0,325000,286800,331000,9846,327200,318700,0,0,19734,0,94404510,1701200,1271401,342600,315900,0,'000738','000738.SZ','0D09:44:07.941657000'
28,275110547,8346696,20160226,331000,332100,331100,331200,331300,331400,331500,331800,331900,332000,3400,33700,1600,200,10400,26000,7000,500,1900,4700,330700,329800,330600,330500,330400,330300,330200,330100,330000,329900,1000,20900,5000,1200,100,1000,400,4000,26800,1000,334500,350600,0,325000,286800,331000,9862,327200,318700,0,0,19734,0,94407430,1719600,1253301,342600,315600,0,'000738','000738.SZ','0D09:44:10.883530000'
38,275401729,8355496,20160226,331000,332100,331100,331200,331300,331400,331500,331800,331900,332000,10800,38700,2500,4400,16300,26000,7000,500,1900,4700,330600,329700,330500,330400,330300,330200,330100,330000,329900,329800,4800,5200,1200,100,1000,400,4000,26800,1000,20900,334500,350600,0,325000,286800,331000,9874,327200,318700,0,0,19734,0,94410560,1731100,1251301,342500,315600,0,'000738','000738.SZ','0D09:44:13.913191000'
48,275603535,8361596,20160226,331000,332100,331100,331200,331300,331400,331500,331800,331900,332000,23600,38400,9100,15400,16500,26000,8100,1000,1900,4900,330600,329700,330500,330400,330300,330200,330100,330000,329900,329800,2900,5200,1200,100,1000,400,4000,26900,1000,20900,334500,350600,0,325000,286800,330600,9887,327200,318700,0,0,19734,0,94413500,1769400,1242701,342200,315500,0,'000738','000738.SZ','0D09:44:16.876920000'
58,275663075,8363396,20160226,331000,332100,331100,331200,331300,331400,331500,331800,331900,332000,24400,38400,19900,15900,16900,200,6800,1000,1900,5000,330600,329700,330500,330400,330300,330200,330100,330000,329900,329800,1900,5200,1200,100,1000,400,4000,27000,1000,20900,334500,350600,0,325000,286800,331000,9894,327200,318700,0,0,19734,0,94416460,1762000,1242601,342300,315500,0,'000738','000738.SZ','0D09:44:19.883486000'
68,276149104,8378096,20160226,330400,331900,330500,331000,331100,331200,331300,331400,331500,331800,1000,1900,3300,22700,19800,16800,17000,200,7200,1000,330100,329000,330000,329900,329800,329700,329600,329500,329400,329100,800,10100,27000,1000,20900,5200,5100,31900,1300,400,334500,350600,0,325000,286800,330100,9919,327200,318700,0,0,19734,0,94419500,1774200,1238601,342300,315400,0,'000738','000738.SZ','0D09:44:22.905996000'
78,277459508,8417696,20160226,330200,331900,330600,330700,331100,331200,331300,331400,331500,331800,2800,1900,1400,3400,40900,18500,16500,200,6500,1000,330100,329000,330000,329900,329800,329700,329600,329500,329400,329100,600,10400,27000,1000,20500,5200,5100,31900,1300,400,334500,350600,0,325000,286800,330700,9956,327200,318700,0,0,19734,0,94422590,1781700,1235501,342300,315400,0,'000738','000738.SZ','0D09:44:25.984168000'
88,279849323,8489997,20160226,331100,332200,331200,331300,331400,331500,331800,331900,332000,332100,40700,3000,17000,16900,200,6500,1000,1900,2000,38100,331000,329000,330000,329900,329800,329700,329600,329500,329400,329100,19299,10400,17600,1000,20500,5200,5100,31900,1300,400,334500,350600,0,325000,286800,331000,10006,327200,318700,0,0,19734,0,94425430,1775400,1243800,342300,315500,0,'000738','000738.SZ','0D09:44:28.924687000'
98,280428588,8507497,20160226,331100,332200,331200,331300,331400,331500,331800,331900,332000,332100,39400,3000,15500,16300,200,4500,1000,1900,2300,38000,331000,329600,330800,330600,330300,330200,330000,329900,329800,329700,3799,5100,100,100,200,900,17000,1000,20500,5200,334500,350600,0,325000,286800,331000,10029,327200,318700,0,0,19734,0,94428540,1773900,1229200,342400,315300,0,'000738','000738.SZ','0D09:44:31.948751000'
