,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
18,420772,14600,20160505,288200,289900,288300,288500,288900,289300,289400,289600,289700,289800,1550,1300,4400,6600,5400,500,800,400,200,2000,287400,285800,287300,287200,287000,286600,286500,286300,286100,286000,300,800,1000,1000,2000,1000,5500,900,1000,400,288200,315900,0,288200,258500,288200,18,288200,287200,0,79,0,0,92903000,529850,157400,299310,277290,0,600085,600085.SH,0D09:29:05.472010000
36,420772,14600,20160505,288200,289900,288300,288500,288900,289300,289400,289600,289700,289800,1550,1300,4400,6600,5400,500,800,400,200,2000,287400,285800,287300,287200,287000,286600,286500,286300,286100,286000,300,800,1000,1000,2000,1000,5500,900,1000,400,288200,315900,0,288200,258500,288200,18,288200,287200,0,79,0,0,92903000,529850,157400,299310,277290,0,600085,600085.SH,0D09:29:14.679149000
47,472493,16400,20160505,288100,289800,288200,288300,288500,288900,289300,289400,289600,289700,3900,2000,1550,4300,6600,5400,500,800,400,200,287200,285500,287000,286600,286500,286300,286100,286000,285800,285600,600,200,2000,1000,5500,900,1000,400,800,600,288200,315900,0,287200,258500,287200,25,288200,287200,0,79,0,0,93002000,538150,158200,299260,276980,0,600085,600085.SH,0D09:30:03.826902000
56,1054329,36600,20160505,287300,288800,287400,287800,287900,288000,288200,288300,288500,288700,300,1000,1800,600,300,9050,1000,2300,4000,100,287200,285600,287000,286600,286500,286300,286200,286100,286000,285800,2400,1100,12000,1600,5500,400,2000,1400,600,800,288300,315900,0,287200,258500,287300,41,288200,287200,0,79,0,0,93005000,656250,180200,298920,277920,0,600085,600085.SH,0D09:30:06.622382000
71,1060075,36800,20160505,287300,288800,287400,287800,287900,288000,288200,288300,288500,288700,100,1000,1800,600,300,9050,1000,2300,4000,100,287200,285600,287000,286600,286500,286300,286200,286100,286000,285800,2400,1100,12800,1600,5500,400,2000,1400,600,800,288300,315900,0,287200,258500,287300,42,288200,287200,0,79,0,0,93008000,760650,181500,298450,277980,0,600085,600085.SH,0D09:30:09.046800000
86,1060075,36800,20160505,287300,288800,287400,287800,287900,288000,288200,288300,288500,288700,100,1000,1800,600,300,9050,1000,2300,4000,100,287200,285600,287000,286600,286500,286300,286200,286100,286000,285800,2400,1100,12800,1600,5500,400,2000,1400,600,800,288300,315900,0,287200,258500,287300,42,288200,287200,0,79,0,0,93011000,762150,181600,298440,277970,0,600085,600085.SH,0D09:30:11.501707000
101,1060075,36800,20160505,287300,288900,287400,287900,288000,288200,288300,288500,288700,288800,100,5700,2000,300,11050,1000,2300,4000,100,1000,287200,285600,287000,286600,286500,286300,286200,286100,286000,285800,2400,1100,12800,1600,5500,400,2000,1400,600,800,288300,315900,0,287200,258500,287300,42,288200,287200,0,79,0,0,93014000,764050,181800,298420,277970,0,600085,600085.SH,0D09:30:14.550166000
116,1062947,36900,20160505,287300,288900,287400,287900,288000,288200,288300,288500,288700,288800,100,5700,2000,300,11050,1000,2300,4000,100,1000,287200,285600,287000,286600,286500,286300,286200,286100,286000,285800,2300,1100,12800,1600,5500,4400,2000,1400,600,800,288300,315900,0,287200,258500,287200,43,288200,287200,0,79,0,0,93017000,765050,186700,298410,278140,0,600085,600085.SH,0D09:30:17.479539000
131,1062947,36900,20160505,287300,288900,287400,287900,288000,288200,288300,288500,288700,288800,100,5700,2000,300,11050,1000,2300,4000,100,1000,287200,285600,287000,286600,286500,286300,286200,286100,286000,285800,2300,1100,12800,1600,5500,4400,2000,1400,600,800,288300,315900,0,287200,258500,287200,43,288200,287200,0,79,0,0,93020000,767850,186700,298450,278140,0,600085,600085.SH,0D09:30:21.066216000
146,1062947,36900,20160505,287300,288900,287400,287900,288000,288200,288300,288500,288700,288800,100,5700,2000,300,11050,1000,2300,4000,100,1000,287200,285800,287000,286700,286600,286500,286300,286200,286100,286000,2300,800,12800,900,1600,5500,4400,2000,1400,600,288300,315900,0,287200,258500,287200,43,288200,287200,0,79,0,0,93023000,767850,297600,298450,272050,0,600085,600085.SH,0D09:30:23.465594000
159,1062947,36900,20160505,287300,288900,287400,287900,288000,288200,288300,288500,288700,288800,100,5700,2000,300,11050,1000,2300,4000,100,1000,287200,285800,287000,286700,286600,286500,286300,286200,286100,286000,5300,800,12800,900,1600,5500,4400,2000,1400,600,288300,315900,0,287200,258500,287200,43,288200,287200,0,79,0,0,93026000,768650,300600,298440,272200,0,600085,600085.SH,0D09:30:27.303455000
174,1062947,36900,20160505,287400,289000,287900,288000,288200,288300,288500,288700,288800,288900,2000,100,300,11050,1000,2300,4000,100,1000,5700,287200,285800,287000,286700,286600,286500,286300,286200,286100,286000,5300,800,12800,900,1600,5500,4400,2000,1400,600,288300,315900,0,287200,258500,287200,43,288200,287200,0,79,0,0,93029000,770850,300800,298490,272200,0,600085,600085.SH,0D09:30:29.520321000
189,1062947,36900,20160505,287400,289000,287900,288000,288200,288300,288500,288700,288800,288900,2000,100,300,11050,1000,2300,4000,100,1000,5700,287200,285800,287000,286700,286600,286500,286300,286200,286100,286000,5300,800,12800,900,1600,5500,4400,2000,1400,600,288300,315900,0,287200,258500,287200,43,288200,287200,0,79,0,0,93032000,724950,300900,299080,272210,0,600085,600085.SH,0D09:30:32.435766000
204,1062947,36900,20160505,287400,289000,287900,288000,288200,288300,288500,288700,288800,288900,2000,100,300,11050,1000,2300,4000,100,1000,5700,287200,285800,287000,286700,286600,286500,286300,286200,286100,286000,5300,800,12800,900,1600,5500,4400,2900,1400,600,288300,315900,0,287200,258500,287200,43,288200,287200,0,79,0,0,93035000,724950,301900,299080,272250,0,600085,600085.SH,0D09:30:35.655237000
219,1062947,36900,20160505,287400,289000,287900,288000,288200,288300,288500,288700,288800,288900,2000,100,300,11050,1000,2300,4000,100,1000,5700,287200,285800,287000,286700,286600,286500,286300,286200,286100,286000,5300,800,12800,900,1600,5500,4400,2900,1400,600,288300,315900,0,287200,258500,287200,43,288200,287200,0,79,0,0,93038000,725950,303400,299070,272310,0,600085,600085.SH,0D09:30:38.658344000
234,1077307,37400,20160505,287400,289000,287900,288000,288200,288300,288500,288700,288800,288900,2000,100,300,11050,1000,2300,4000,100,1000,5700,287200,285800,287000,286700,286600,286500,286300,286200,286100,286000,4800,800,12800,900,1600,5500,4400,2900,1400,600,288300,315900,0,287200,258500,287200,45,288200,287200,0,79,0,0,93041000,726550,304900,299070,272370,0,600085,600085.SH,0D09:30:41.718776000
249,1077307,37400,20160505,287400,289000,287900,288000,288200,288300,288500,288700,288800,288900,1800,100,300,11050,1000,2300,4000,100,1000,5700,287300,285800,287200,287000,286600,286500,286300,286200,286100,286000,1100,800,4800,12800,1600,5500,4400,2900,1400,600,288300,315900,0,287200,258500,287200,45,288200,287200,0,79,0,0,93044000,726350,305100,299070,272380,0,600085,600085.SH,0D09:30:45.103309000
