,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
13,28511426,3037728,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,19450,9400,56100,32100,40100,58500,148450,26500,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,22300,16700,97039,49400,26200,98900,9800,88900,6900,29400,94900,101500,0,92200,83100,94400,2033,92200,92300,0,0,0,0,94831420,3257201,1562362,98400,90200,0,2099,002099.SZ,0D09:48:35.059569000
28,28629489,3050228,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,13450,9400,56100,32100,39900,58500,148450,26500,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,18400,16700,97039,49500,29200,98900,9800,88900,6900,29400,94900,101500,0,92200,83100,94400,2042,92200,92300,0,0,0,0,94834440,3250501,1561062,98400,90200,0,2099,002099.SZ,0D09:48:38.017133000
43,28681454,3055728,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,8950,9400,56100,32100,41900,58700,158850,28000,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,17600,16700,97539,49500,29200,98900,9800,88900,6900,29400,94900,101500,0,92200,83100,94500,2049,92200,92300,0,0,0,0,94837170,3260701,1559762,98400,90200,0,2099,002099.SZ,0D09:48:40.968315000
58,28703174,3058028,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,38250,9400,56700,32100,41900,58700,108850,28000,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,16400,16700,97539,49500,29200,98900,9800,88900,6900,29400,94900,101500,0,92200,83100,94400,2053,92200,92300,0,0,0,0,94839640,3266001,1555062,98400,90100,0,2099,002099.SZ,0D09:48:43.974988000
72,28703174,3058028,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,41550,9400,59000,32100,41900,58700,108850,28000,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,16400,16900,97539,50600,29200,100500,9800,88900,6900,29400,94900,101500,0,92200,83100,94400,2053,92200,92300,0,0,0,0,94842950,3272301,1558962,98400,90100,0,2099,002099.SZ,0D09:48:47.020801000
87,28773030,3065428,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,47550,9400,59000,32100,42700,58700,113950,28000,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,9000,16900,97539,50600,29200,100500,9800,88900,6900,29400,94900,101500,0,92200,83100,94400,2059,92200,92300,0,0,0,0,94846450,3284201,1551562,98300,90100,0,2099,002099.SZ,0D09:48:50.009827000
102,28782480,3066428,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,46950,9400,59400,33100,42700,58700,113950,28000,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,9000,16900,97539,50600,29200,100000,9500,88900,6900,29400,94900,101500,0,92200,83100,94500,2061,92200,92300,0,0,0,0,94849070,3286901,1550762,98300,90100,0,2099,002099.SZ,0D09:48:52.968152000
117,28790037,3067228,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,47450,9400,59400,33100,44000,58700,113950,28000,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,8400,16800,97539,50600,29200,101000,9500,88900,6900,29400,94900,101500,0,92200,83100,94400,2064,92200,92300,0,0,0,0,94852460,3292701,1550562,98300,90100,0,2099,002099.SZ,0D09:48:56.083510000
132,28791926,3067428,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,47350,9400,59400,33100,44000,56400,113950,28000,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,8300,16800,97539,50600,29200,101000,9500,88900,6900,29400,94900,101500,0,92200,83100,94400,2066,92200,92300,0,0,0,0,94854490,3290601,1550462,98300,90100,0,2099,002099.SZ,0D09:49:00.385224000
147,28804203,3068728,20160503,94500,95400,94600,94700,94800,94900,95000,95100,95200,95300,44850,9400,59400,33100,44000,56400,113950,28000,16800,16500,94400,93500,94300,94200,94100,94000,93900,93800,93700,93600,7500,16800,97539,50600,29200,101000,9500,88900,6900,29400,94900,101500,0,92200,83100,94500,2069,92200,92300,0,0,0,0,94856660,3292701,1549662,98400,90100,0,2099,002099.SZ,0D09:49:02.127419000
