,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
8,1031184,306900,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,13914240,340000,9000050,4039317,1809500,765000,699500,779700,647700,2067000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,587000,9300,10932800,6252600,1287100,322000,388400,340300,70400,99600,33600,37100,0,33600,30300,33600,61,33600,33700,0,79,0,0,92901000,40813052,21646900,34230,33290,0,601988,601988.SH,0D09:29:02.255420000
34,1031184,306900,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,13914240,340000,9000050,4039317,1809500,765000,699500,779700,647700,2067000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,587000,9300,10932800,6252600,1287100,322000,388400,340300,70400,99600,33600,37100,0,33600,30300,33600,61,33600,33700,0,79,0,0,92903000,40813052,21646900,34230,33290,0,601988,601988.SH,0D09:29:08.397246000
42,1046308,311400,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,14498340,340000,9607150,4039517,1838000,765000,699500,779700,647700,2067000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,590300,9300,11987800,6254700,1324100,352000,388400,340300,70400,99600,33700,37100,0,33600,30300,33600,64,33600,33700,0,79,0,0,93002000,42048252,22774300,34220,33300,0,601988,601988.SH,0D09:30:02.399049000
55,1332278,396500,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,16369511,366100,10675050,4181417,2042500,953200,743400,820900,822900,2137000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,524000,9300,12926400,6364400,1519900,396000,428300,342900,70400,100000,33700,37100,0,33600,30300,33600,89,33600,33700,0,79,0,0,93005000,46367123,24138600,34220,33300,0,601988,601988.SH,0D09:30:06.152369000
67,1356807,403800,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,16678411,366100,10782250,4181417,2092500,957200,754400,820900,822900,2137000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,522800,9300,13192900,6401100,1534700,407500,432300,392900,70900,100000,33700,37100,0,33600,30300,33700,92,33600,33700,0,79,0,0,93008000,46855323,24578800,34210,33290,0,601988,601988.SH,0D09:30:08.760573000
85,1357815,404100,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,17209211,386100,10782250,4201517,2092500,957200,754400,820900,822900,2137000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,522500,9300,13189900,6407100,1534700,407500,436700,394700,70900,100000,33700,37100,0,33600,30300,33600,93,33600,33700,0,79,0,0,93011000,47437223,24587700,34210,33290,0,601988,601988.SH,0D09:30:11.473458000
97,1359831,404700,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,17210711,386100,10789250,4191517,2093400,957200,754400,820900,827700,2137000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,533300,9300,13203100,6447100,1539700,407500,436700,394700,70900,100000,33700,37100,0,33600,30300,33600,94,33600,33700,0,79,0,0,93014000,47463323,24656700,34210,33290,0,601988,601988.SH,0D09:30:14.465096000
112,1398471,416200,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,17200711,386100,10779250,4191517,2174700,957200,754400,820900,827700,2137000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,521800,9300,13203100,6447100,1539700,407500,436700,394700,70900,100000,33700,37100,0,33600,30300,33600,95,33600,33700,0,79,0,0,93017000,47525123,24645200,34210,33290,0,601988,601988.SH,0D09:30:17.472106000
127,1398471,416200,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,17200711,386100,10779250,4191517,2174700,957200,754600,821300,827700,2137000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,522400,9300,13213100,6447100,1539700,407500,436700,394700,70900,100000,33700,37100,0,33600,30300,33600,95,33600,33700,0,79,0,0,93020000,47525723,24655800,34210,33290,0,601988,601988.SH,0D09:30:21.058262000
145,1401501,417100,20160505,33700,34600,33800,33900,34000,34100,34200,34300,34400,34500,17200111,386100,10812650,4191517,2175200,957200,754600,821300,827700,2137000,33600,32700,33500,33400,33300,33200,33100,33000,32900,32800,522100,9300,13233100,6448600,1539700,407500,436700,394700,70900,100000,33700,37100,0,33600,30300,33700,97,33600,33700,0,79,0,0,93023000,47562623,24677000,34210,33290,0,601988,601988.SH,0D09:30:23.463627000
