,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
5,134200180,7330029,20160226,176300,178700,177800,178000,178100,178200,178300,178400,178500,178600,19700,5600,1000,4900,38300,7300,900,1400,106201,1100,175100,173900,175000,174600,174500,174400,174300,174200,174100,174000,18000,4800,53300,2700,1000,6400,2000,300,2000,7500,186800,202000,0,175100,165200,177000,6219,185100,183600,0,79,0,0,94402000,2155019,386900,193320,170900,0,'600652','600652.SH','0D09:44:03.629086000'
15,134371185,7339729,20160226,176300,178400,176800,177000,177700,177800,178000,178100,178200,178300,10200,1400,900,17300,600,8000,5400,32300,800,900,176000,174000,175100,175000,174600,174500,174400,174300,174200,174100,800,7500,18000,53300,2700,1000,6400,2000,300,2000,186800,202000,0,175100,165200,176300,6236,185100,183600,0,79,0,0,94405000,2130119,389000,193490,170900,0,'600652','600652.SH','0D09:44:06.675010000'
25,134591451,7352229,20160226,176300,178000,176600,176800,177000,177200,177500,177600,177700,177800,2200,11800,8300,900,26900,7400,2900,44000,600,8000,176000,174100,175200,175100,175000,174600,174500,174400,174300,174200,2500,2000,500,18000,58300,2700,1000,6400,2000,300,186800,202000,0,175100,165200,176300,6257,185100,183600,0,79,0,0,94408000,2193819,396200,193030,170980,0,'600652','600652.SH','0D09:44:09.770049000'
33,134936826,7371829,20160226,176600,178000,176800,177000,177200,177500,177600,177700,177800,177900,5700,11800,2600,26900,7400,2900,44000,300,7100,500,176000,174400,175900,175800,175300,175200,175100,175000,174600,174500,31700,6400,100,300,1000,500,18300,59000,2700,1000,186800,202000,0,175100,165200,176000,6280,185100,183600,0,79,0,0,94411000,2157019,434300,193260,171360,0,'600652','600652.SH','0D09:44:12.698496000'
45,135806937,7421229,20160226,175800,178100,177000,177200,177500,177600,177700,177800,177900,178000,2200,24700,28300,7400,2900,44000,300,7100,500,12000,175600,174300,175400,175300,175200,175100,175000,174600,174500,174400,1200,2000,500,1200,3500,41300,58600,2700,1000,6400,186800,202000,0,175100,165200,175600,6329,185100,183600,0,79,0,0,94414000,2148419,429900,193320,171260,0,'600652','600652.SH','0D09:44:15.673276000'
55,138820255,7593229,20160226,175000,178000,176000,177000,177200,177500,177600,177700,177800,177900,46100,8200,7500,28800,7400,2000,44000,300,7600,500,174600,173500,174500,174400,174300,174200,174100,174000,173900,173600,2700,64300,1000,6400,2000,300,2000,39500,4800,8200,186800,202000,0,175000,165200,175000,6449,185100,183600,0,79,0,0,94417000,2193719,353600,192940,170350,0,'600652','600652.SH','0D09:44:18.736738000'
63,140044096,7663129,20160226,176000,177900,176300,176500,177000,177200,177500,177600,177700,177800,6600,500,1000,600,29900,7400,2000,44000,300,8800,175900,173900,175300,175200,175100,174400,174300,174200,174100,174000,1000,4800,21600,1000,100,600,2000,300,2000,39500,186800,202000,0,174400,165200,176000,6511,185100,183600,0,79,0,0,94420000,2139819,370800,193340,170550,0,'600652','600652.SH','0D09:44:21.635294000'
76,141072922,7721629,20160226,175800,177800,176000,176500,176600,177000,177200,177500,177600,177700,200,8800,3800,1700,1400,26900,7400,2000,44000,300,175500,174000,175200,175100,175000,174600,174400,174300,174200,174100,3000,39500,2600,3700,21400,300,600,2000,300,2000,186800,202000,0,174400,165200,175800,6572,185100,183600,0,79,0,0,94423000,2102119,378500,193420,170620,0,'600652','600652.SH','0D09:44:24.665965000'
83,141485353,7745029,20160226,177000,178200,177200,177500,177600,177700,177800,177900,178000,178100,29000,3100,7400,2000,44000,300,8300,1000,10900,15100,176800,174400,176400,176300,175800,175300,175200,175100,175000,174600,16300,600,500,2500,100,300,13600,3700,23400,800,186800,202000,0,174400,165200,176800,6602,185100,183600,0,79,0,0,94426000,2085619,409100,193550,171020,0,'600652','600652.SH','0D09:44:27.627382000'
95,142409604,7797329,20160226,175500,178200,177000,177200,177500,177600,177800,177900,178000,178100,5000,3100,7000,7400,1800,44000,8300,500,9800,15400,175300,174200,175200,175100,175000,174700,174600,174500,174400,174300,4400,900,14600,4800,48500,500,800,500,600,2400,186800,202000,0,174400,165200,175300,6656,185100,183600,0,79,0,0,94429000,2067219,424700,193690,171070,0,'600652','600652.SH','0D09:44:30.991924000'
105,143331200,7849829,20160226,176000,178200,176800,177000,177500,177600,177800,177900,178000,178100,3300,3100,100,1500,1800,44000,5100,500,13600,15400,175000,173900,174700,174600,174500,174400,174300,174200,174100,174000,45400,4800,500,500,1200,600,2400,1200,2300,39500,186800,202000,0,174400,165200,175000,6709,185100,183600,0,79,0,0,94432000,2052619,403600,193810,170790,0,'600652','600652.SH','0D09:44:33.652442000'
115,143431280,7855529,20160226,175500,177900,175600,175900,176000,176800,177000,177500,177600,177800,600,500,200,6000,2100,700,1500,1800,44000,5100,175200,174000,175000,174700,174600,174500,174400,174300,174200,174100,4500,40000,49800,500,500,1300,600,2400,1200,2300,186800,202000,0,174400,165200,175200,6720,185100,183600,0,79,0,0,94435000,2057519,416900,193760,170890,0,'600652','600652.SH','0D09:44:36.641925000'
123,144010332,7888529,20160226,175500,177800,175600,175900,176000,176800,176900,177000,177500,177600,21700,4900,1800,500,2100,1200,500,2000,1800,44000,175200,174100,175000,174800,174700,174600,174500,174400,174300,174200,5000,2300,62600,700,500,500,2400,600,400,2200,186800,202000,0,174400,165200,175200,6757,185100,183600,0,79,0,0,94438000,2070019,435700,193640,171020,0,'600652','600652.SH','0D09:44:39.988981000'
133,144522521,7917729,20160226,175500,177600,175600,175900,176000,176600,176800,176900,177000,177500,7700,44000,1800,1800,2500,3000,3100,500,2000,1800,175300,174300,175200,175100,175000,174800,174700,174600,174500,174400,1000,400,3500,3000,69700,1400,500,1000,3400,3600,186800,202000,0,174400,165200,175500,6789,185100,183600,0,79,0,0,94441000,2059919,460200,193720,171150,0,'600652','600652.SH','0D09:44:42.599765000'
145,144893071,7938829,20160226,176500,178100,176600,176800,176900,177000,177500,177600,177800,178000,18300,14100,3000,5500,500,2000,1800,44000,4900,10700,176000,174600,175600,175500,175300,175200,175100,175000,174800,174700,100,1500,24200,20900,9000,4900,6000,88000,1400,500,186800,202000,0,174400,165200,176000,6824,185100,183600,0,79,0,0,94444000,2063819,544800,193690,171770,0,'600652','600652.SH','0D09:44:45.664303000'
