,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
0,82348769,3845512,20160226,212300,213400,212500,212600,212700,212800,212900,213000,213100,213300,1400,21500,27000,210100,11600,14000,27681,3100,3900,11453,212200,211100,212100,212000,211900,211800,211700,211600,211500,211200,4500,17600,31771,23900,700,1900,1800,900,900,1100,216600,235800,0,212100,193000,212200,3026,214100,214400,0,0,0,0,94358350,1762324,735371,224400,201600,0,'300251','300251.SZ','0D09:44:02.334031000'
10,82482463,3851812,20160226,212300,213400,212500,212600,212700,212800,212900,213000,213100,213300,900,21500,27000,226900,11600,14000,27681,3100,3900,11353,212100,211000,212000,211900,211800,211700,211600,211500,211200,211100,31271,5700,23900,700,1900,1800,900,900,1100,17600,216600,235800,0,212100,193000,212300,3035,214100,214400,0,0,0,0,94401350,1769824,731071,224300,201500,0,'300251','300251.SZ','0D09:44:05.445257000'
20,83161179,3883812,20160226,212200,213300,212300,212500,212600,212700,212800,212900,213000,213100,1800,11353,900,28200,27000,11600,12500,27681,3100,3900,212000,210900,211900,211800,211700,211600,211500,211200,211100,211000,23471,4000,700,1900,1800,900,900,1100,17600,5700,216600,235800,0,212000,193000,212000,3055,214100,214400,0,0,0,0,94404660,1568224,699371,225800,201100,0,'300251','300251.SZ','0D09:44:08.401746000'
30,83277886,3889312,20160226,212100,213000,212200,212300,212400,212500,212600,212700,212800,212900,200,3100,1100,1200,200,28200,27000,10600,15100,27681,212000,210900,211900,211800,211700,211600,211500,211200,211100,211000,23471,4000,700,1900,1800,900,900,1100,17600,5700,216600,235800,0,212000,193000,212300,3067,214100,214400,0,0,0,0,94407350,1566324,700171,225800,201100,0,'300251','300251.SZ','0D09:44:11.348450000'
40,83798778,3913883,20160226,212000,212900,212100,212200,212300,212400,212500,212600,212700,212800,19129,24981,5200,1100,7700,200,28700,19200,7900,15100,211800,210700,211700,211600,211500,211200,211100,211000,210900,210800,1600,900,1800,900,900,1100,17600,4700,4000,400,216600,235800,0,211800,193000,212000,3104,214100,214400,0,0,0,0,94410450,1599453,674700,225800,200600,0,'300251','300251.SZ','0D09:44:14.385403000'
50,83885677,3917983,20160226,211900,212800,212000,212100,212200,212300,212400,212500,212600,212700,900,15400,22629,14900,1100,7700,300,28700,19200,6500,211800,210700,211700,211600,211500,211200,211100,211000,210900,210800,600,900,1800,900,900,1100,17600,4700,4000,400,216600,235800,0,211800,193000,212000,3110,214100,214400,0,0,0,0,94413820,1613453,676600,225600,200600,0,'300251','300251.SZ','0D09:44:17.334259000'
60,83908980,3919083,20160226,211800,212700,211900,212000,212100,212200,212300,212400,212500,212600,9400,6500,400,22629,26300,7000,7000,700,9700,19200,211700,210600,211600,211500,211200,211100,211000,210900,210800,210700,1800,5400,900,900,1100,17600,4700,4000,400,900,216600,235800,0,211800,193000,211800,3114,214100,214400,0,0,0,0,94416640,1607853,666000,225600,200600,0,'300251','300251.SZ','0D09:44:20.339013000'
70,83921688,3919683,20160226,211800,212700,211900,212000,212100,212200,212300,212400,212500,212600,22900,4700,400,29029,26800,7000,7000,700,10200,19200,211700,210600,211600,211500,211200,211100,211000,210900,210800,210700,1800,5400,900,900,1100,17600,4700,4000,400,900,216600,235800,0,211800,193000,211800,3115,214100,214400,0,0,0,0,94419750,1623353,666400,225500,200600,0,'300251','300251.SZ','0D09:44:23.388108000'
80,83980985,3922483,20160226,211800,212700,211900,212000,212100,212200,212300,212400,212500,212600,20800,4700,400,31329,26800,9700,17100,700,6700,16700,211700,210600,211600,211500,211200,211100,211000,210900,210800,210700,1100,5400,900,900,1100,17600,4700,4000,400,900,216600,235800,0,211700,193000,211800,3121,214100,214400,0,0,0,0,94422770,1629453,667700,225500,200500,0,'300251','300251.SZ','0D09:44:26.455162000'
90,84067767,3926583,20160226,211500,212500,211700,211800,211900,212000,212100,212200,212300,212400,8500,6700,9600,22300,400,31329,24100,9700,17100,600,211200,210300,211100,211000,210900,210800,210700,210600,210500,210400,1100,100,17600,4700,4000,400,900,5400,7800,500,216600,235800,0,211500,193000,211500,3129,214100,214400,0,0,0,0,94425800,1639900,664800,225400,200500,0,'300251','300251.SZ','0D09:44:29.376945000'
100,84084679,3927383,20160226,211500,212500,211700,211800,211900,212000,212100,212200,212300,212400,8100,6700,26500,23800,400,36629,17600,9700,10600,600,211300,210400,211200,211100,211000,210900,210800,210700,210600,210500,4600,500,11100,17600,4700,4000,400,900,5400,7800,216600,235800,0,211300,193000,211500,3133,214100,214400,0,0,0,0,94428310,1650700,679500,225300,200700,0,'300251','300251.SZ','0D09:44:32.408066000'
110,84139649,3929983,20160226,211500,212400,211600,211700,211800,211900,212000,212100,212200,212300,7200,600,100,30300,24100,400,35129,12600,3800,10600,211300,210400,211200,211100,211000,210900,210800,210700,210600,210500,3600,500,11400,17600,5000,4000,400,900,5400,7800,216600,235800,0,211300,193000,211500,3138,214100,214400,0,0,0,0,94431660,1630300,679800,225400,200700,0,'300251','300251.SZ','0D09:44:35.425510000'
120,84264373,3935883,20160226,211500,212400,211600,211700,211800,211900,212000,212100,212200,212300,7400,600,2400,33600,24100,400,30129,6700,3800,400,211300,210400,211200,211100,211000,210900,210800,210700,210600,210500,700,500,17400,17600,5000,4000,400,900,5400,7800,216600,235800,0,211300,193000,211500,3143,214100,214400,0,0,0,0,94434530,1615300,683100,225500,200700,0,'300251','300251.SZ','0D09:44:38.326764000'
130,84515717,3947783,20160226,211300,212400,211500,211600,211700,211800,212000,212100,212200,212300,11700,600,7200,2400,34800,17300,30129,6700,6700,400,211200,210300,211100,211000,210900,210800,210700,210600,210500,210400,6700,100,17600,5000,4000,400,900,5400,7800,500,216600,235800,0,211200,193000,211200,3155,214100,214400,0,0,0,0,94437790,1622500,671700,225500,200600,0,'300251','300251.SZ','0D09:44:41.407765000'
140,85601330,3999183,20160226,211100,212200,211200,211300,211500,211600,211700,211800,212000,212100,1000,6700,21000,4500,10700,2400,53200,17300,28729,1700,210900,210000,210800,210700,210600,210500,210400,210300,210200,210100,4000,51400,400,900,5400,7800,500,100,7100,25200,216600,235800,0,211000,193000,211200,3192,214100,214400,0,0,0,0,94440670,1648800,641600,225200,200100,0,'300251','300251.SZ','0D09:44:44.369170000'
150,85845835,4010783,20160226,211000,212000,211100,211200,211300,211400,211500,211600,211700,211800,6800,28729,200,24500,7100,2500,14700,2400,53200,17300,210600,209100,210500,210400,210300,210200,210100,210000,209700,209500,700,1000,7800,500,100,7100,25200,51400,500,300,216600,235800,0,210600,193000,210600,3205,214100,214400,0,0,0,0,94443240,1665400,631600,225100,199900,0,'300251','300251.SZ','0D09:44:47.408774000'
160,85850055,4010983,20160226,211000,212000,211100,211200,211300,211400,211500,211600,211700,211800,6600,22429,10200,38300,12000,2500,15200,2400,53200,4800,210600,209100,210500,210400,210300,210200,210100,210000,209700,209500,700,1000,7800,500,100,7100,25200,51500,500,300,216600,235800,0,210600,193000,211000,3206,214100,214400,0,0,0,0,94446680,1674800,632200,225000,199900,0,'300251','300251.SZ','0D09:44:50.398567000'
170,85852165,4011083,20160226,210900,211800,211000,211100,211200,211300,211400,211500,211600,211700,200,4800,9300,10200,44800,21400,2500,15200,2400,108200,210600,209100,210500,210400,210300,210200,210100,210000,209700,209500,700,1000,7800,500,100,7100,16100,51500,500,300,216600,235800,0,210600,193000,211000,3207,214100,214400,0,0,0,0,94449650,1753937,623100,224400,199800,0,'300251','300251.SZ','0D09:44:53.374083000'
180,85856381,4011283,20160226,210800,211700,210900,211000,211100,211200,211300,211400,211500,211600,800,107700,200,41500,300,45100,21400,2500,15200,2300,210600,209000,210500,210400,210300,210200,210100,210000,209500,209100,700,500,7800,500,100,7100,16100,48300,300,1000,216600,235800,0,210600,193000,210800,3208,214100,214400,0,0,0,0,94452780,1775137,619400,224200,199700,0,'300251','300251.SZ','0D09:44:56.388065000'
190,87829383,4105183,20160226,210600,211600,210800,210900,211000,211100,211200,211300,211400,211500,10000,2300,800,9600,50163,300,46000,15500,2500,15200,210200,208300,210000,209500,209100,209000,208900,208800,208700,208500,21100,11600,900,300,1000,500,300,6300,2000,400,216600,235800,0,210000,193000,210000,3307,214100,214400,0,0,0,0,94455690,1789800,560800,224100,198600,0,'300251','300251.SZ','0D09:44:59.370053000'
200,87844111,4105883,20160226,210500,211500,210600,210800,210900,211000,211100,211200,211300,211400,1500,15200,27300,800,9600,50163,200,18700,6600,2500,210200,208300,210000,209500,209100,209000,208900,208800,208700,208500,21100,11600,900,300,1000,500,300,6300,2000,400,216600,235800,0,210000,193000,210400,3309,214100,214400,0,0,0,0,94458580,1749900,560800,224400,198600,0,'300251','300251.SZ','0D09:45:02.330970000'
210,87875641,4107383,20160226,210500,211500,210600,210800,210900,211000,211100,211200,211300,211400,2200,15200,30100,800,9600,50163,300,14900,6600,2500,210200,208300,210000,209500,209100,209000,208900,208800,208700,208500,19600,11600,900,300,4000,500,300,6300,2000,400,216600,235800,0,210000,193000,210200,3310,214100,214400,0,0,0,0,94501090,1733500,565500,224500,198700,0,'300251','300251.SZ','0D09:45:05.348815000'
220,87995510,4113083,20160226,210500,211500,210600,210800,210900,211000,211100,211200,211300,211400,2100,15200,45500,100,9600,36563,100,64200,5200,200,210200,208500,210100,210000,209500,209100,209000,208900,208800,208700,16900,400,500,900,300,4000,500,300,6300,2000,216600,235800,0,210000,193000,210200,3317,214100,214400,0,0,0,0,94504720,1777600,563800,224200,198600,0,'300251','300251.SZ','0D09:45:08.357017000'
230,88401246,4132383,20160226,210300,211300,210400,210500,210600,210800,210900,211000,211100,211200,11700,1900,1000,2100,46200,100,11700,36563,100,63700,210200,208700,210100,210000,209900,209500,209100,209000,208900,208800,2600,2000,500,900,1900,300,4000,500,300,6300,216600,235800,0,210000,193000,210200,3324,214100,214400,0,0,0,0,94507710,1774600,551800,224200,198400,0,'300251','300251.SZ','0D09:45:11.345824000'
