,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
6164,116470031,5787248,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,5800,14300,5700,1200,2700,1600,3400,4500,7000,11300,201900,201000,201800,201700,201600,201500,201400,201300,201200,201100,3700,10900,10992,4900,4300,13100,600,1600,700,1800,204500,220700,0,197200,180500,201900,5692,203300,200600,0,0,0,0,101448480,1992521,1579852,214400,191300,0,'002099','002099.SZ','0D10:14:53.016349000'
6174,116470031,5787248,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,6000,14300,5700,1300,2700,1600,3400,4500,7000,11300,201900,201000,201800,201700,201600,201500,201400,201300,201200,201100,3700,10900,10992,4900,4300,14900,600,1600,700,1800,204500,220700,0,197200,180500,201900,5692,203300,200600,0,0,0,0,101450670,1992821,1581652,214400,191300,0,'002099','002099.SZ','0D10:14:56.069684000'
6184,116488202,5788148,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,6200,14300,5700,1300,2700,1600,3400,4500,7000,11300,201900,201000,201800,201700,201600,201500,201400,201300,201200,201100,3600,10900,10992,4900,4300,14900,600,1600,700,1800,204500,220700,0,197200,180500,201900,5695,203300,200600,0,0,0,0,101455140,1993021,1576552,214400,191200,0,'002099','002099.SZ','0D10:14:59.005375000'
6194,116510411,5789248,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,4000,14300,5700,1300,2700,1600,3800,4500,7000,11300,201900,201000,201800,201700,201600,201500,201400,201300,201200,201100,2500,10900,10992,4900,4300,14900,600,1600,700,1800,204500,220700,0,197200,180500,201900,5699,203300,200600,0,0,0,0,101457310,1991221,1575452,214400,191200,0,'002099','002099.SZ','0D10:15:02.003643000'
6204,116510411,5789248,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,4000,14300,6200,1300,2700,1600,3800,4500,7000,11300,201900,201000,201800,201700,201600,201500,201400,201300,201200,201100,3400,10900,10992,4900,4300,14900,600,1600,700,1800,204500,220700,0,197200,180500,201900,5699,203300,200600,0,0,0,0,101459690,1992321,1572252,214400,191200,0,'002099','002099.SZ','0D10:15:05.025957000'
6214,116627495,5795048,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,3700,14300,6200,1300,2700,1600,4800,4500,7000,11300,201800,200900,201700,201600,201500,201400,201300,201200,201100,201000,8892,800,4900,4300,14900,600,1600,700,1800,10900,204500,220700,0,197200,180500,201800,5709,203300,200600,0,0,0,0,101504090,1993121,1566752,214400,191200,0,'002099','002099.SZ','0D10:15:08.023597000'
6224,116643655,5795848,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,2900,14300,6200,1300,2700,1600,4800,4500,7000,11300,201800,200900,201700,201600,201500,201400,201300,201200,201100,201000,8892,800,4900,4300,14900,600,1600,700,1800,10900,204500,220700,0,197200,180500,202000,5710,203300,200600,0,0,0,0,101506520,1991821,1567252,214400,191200,0,'002099','002099.SZ','0D10:15:11.033834000'
6234,116657788,5796548,20160226,201900,202800,202000,202100,202200,202300,202400,202500,202600,202700,300,11300,2900,6200,1300,2700,1600,4800,4500,7000,201800,200900,201700,201600,201500,201400,201300,201200,201100,201000,7292,800,4900,4300,14900,600,1600,700,1800,10900,204500,220700,0,197200,180500,201900,5712,203300,200600,0,0,0,0,101509930,1992121,1565652,214400,191200,0,'002099','002099.SZ','0D10:15:14.013156000'
6244,116663845,5796848,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,4900,14300,6200,1300,2700,1600,4800,4500,7000,11300,201800,200900,201700,201600,201500,201400,201300,201200,201100,201000,7292,800,4900,4300,14900,600,1600,700,1800,10900,204500,220700,0,197200,180500,201900,5713,203300,200600,0,0,0,0,101512830,1993721,1565652,214400,191200,0,'002099','002099.SZ','0D10:15:17.050077000'
6254,116684025,5797848,20160226,201900,202800,202000,202100,202200,202300,202400,202500,202600,202700,600,11300,4900,6200,1300,2700,1600,4800,4500,7000,201800,200900,201700,201600,201500,201400,201300,201200,201100,201000,6292,800,4900,4300,14900,600,1600,700,1800,10900,204500,220700,0,197200,180500,201800,5715,203300,200600,0,0,0,0,101515590,1994321,1564852,214400,191200,0,'002099','002099.SZ','0D10:15:20.007536000'
