,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
26338,567296992,35030959,20160503,163500,164400,163600,163700,163800,163900,164000,164100,164200,164300,78300,253601,59700,106200,20530,48100,164200,117200,120800,167600,163400,162500,163300,163200,163100,163000,162900,162800,162700,162600,9100,37800,86369,108700,56900,126199,58600,40800,33000,37200,164500,173900,0,157800,142300,163500,17892,157800,158100,0,0,913,0,111739700,11139102,5555678,168800,157700,0,776,000776.SZ,0D11:17:44.419656000
26352,567352548,35034359,20160503,163500,164400,163600,163700,163800,163900,164000,164100,164200,164300,78300,253601,59700,106200,20530,48100,164200,117200,120800,167600,163400,162500,163300,163200,163100,163000,162900,162800,162700,162600,5700,37800,86369,108700,56900,126199,58600,40800,33000,37200,164500,173900,0,157800,142300,163400,17894,157800,158100,0,0,913,0,111741280,11139102,5552278,168800,157700,0,776,000776.SZ,0D11:17:47.552906000
26365,567352548,35034359,20160503,163500,164400,163600,163700,163800,163900,164000,164100,164200,164300,79300,253601,59700,106200,20530,48100,164200,116800,120800,167600,163400,162500,163300,163200,163100,163000,162900,162800,162700,162600,5700,37800,62100,108700,56900,126199,58600,40800,33000,37200,164500,173900,0,157800,142300,163400,17894,157800,158100,0,0,913,0,111745460,11139602,5528009,168800,157700,0,776,000776.SZ,0D11:17:50.416842000
26380,567385228,35036359,20160503,163500,164400,163600,163700,163800,163900,164000,164100,164200,164300,79300,253601,59700,106200,21030,48100,164200,116800,120800,167600,163400,162500,163300,163200,163100,163000,162900,162800,162700,162600,3700,37800,62100,108700,56900,126199,58600,40800,33000,37200,164500,173900,0,157800,142300,163400,17895,157800,158100,0,0,913,0,111748170,11140102,5526009,168800,157700,0,776,000776.SZ,0D11:17:53.483996000
26392,567439150,35039659,20160503,163500,164400,163600,163700,163800,163900,164000,164100,164200,164300,82300,253601,59700,99500,21030,48100,164200,116800,120800,167600,163400,162500,163300,163200,163100,163000,162900,162800,162700,162600,800,37800,63100,108700,56900,126199,58600,40800,33000,37200,164500,173900,0,157800,142300,163400,17897,157800,158100,0,0,913,0,111752310,11136502,5524109,168800,157700,0,776,000776.SZ,0D11:17:56.502150000
26407,567439150,35039659,20160503,163500,164400,163600,163700,163800,163900,164000,164100,164200,164300,82300,252801,59700,99500,21030,48100,164200,116800,121000,167600,163400,162500,163300,163200,163100,163000,162900,162800,162700,162600,800,37800,65500,108700,56900,126199,58600,40800,33000,37200,164500,173900,0,157800,142300,163400,17897,157800,158100,0,0,913,0,111753600,11135902,5526509,168800,157700,0,776,000776.SZ,0D11:17:59.525651000
26421,567452222,35040459,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,3700,167600,82300,59700,99500,21030,48100,163900,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,65500,12900,108700,56900,126199,58600,40800,33000,37200,37800,164500,173900,0,157800,142300,163400,17899,157800,158100,0,0,913,0,111757730,11139802,5525909,168800,157700,0,776,000776.SZ,0D11:18:02.340642000
26435,567468552,35041459,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,4800,167600,85300,59700,99500,21030,48100,163900,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,64500,12900,108700,56900,126199,58600,40800,33000,37200,37800,164500,173900,0,157800,142300,163300,17901,157800,158100,0,0,913,0,111800960,11145602,5528009,168800,157700,0,776,000776.SZ,0D11:18:05.589547000
26449,567476722,35041959,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,5100,167600,86000,59700,99500,21030,48100,163900,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,64500,12900,105700,56900,126199,58600,40800,33000,37200,37800,164500,173900,0,157800,142300,163400,17902,157800,158100,0,0,913,0,111804060,11146602,5525409,168800,157700,0,776,000776.SZ,0D11:18:08.359761000
26463,567476722,35041959,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,5200,167600,86000,59700,99500,21030,48100,163900,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,64400,12900,105700,57900,126199,58600,40800,33000,37200,37800,164500,173900,0,157800,142300,163400,17902,157800,158100,0,0,913,0,111807000,11151702,5526309,168800,157700,0,776,000776.SZ,0D11:18:11.497783000
