,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
371,453460,15800,20160504,287000,288800,287700,287800,287900,288000,288100,288200,288300,288600,2500,1000,1200,12000,200,5300,9300,7200,500,100,286900,285100,286700,286600,286100,286000,285800,285700,285500,285200,600,6400,4000,100,1200,5300,3400,3000,1000,6400,287000,317100,0,287000,259500,287000,35,0,288300,0,73,0,0,92505000,636000,267300,301680,278910,0,600085,600085.SH,0D09:25:05.618270000
406,453460,15800,20160504,287000,288800,287700,287800,287900,288000,288100,288200,288300,288600,2500,1000,1200,12000,200,5300,9300,7200,500,100,286900,285100,286700,286600,286100,286000,285800,285700,285500,285200,600,6400,4000,100,1200,5300,3400,3000,1000,6400,287000,317100,0,287000,259500,287000,35,287000,288300,0,100,0,0,92514000,636000,267300,301680,278910,0,600085,600085.SH,0D09:25:14.539496000
424,453460,15800,20160504,287000,288800,287700,287800,287900,288000,288100,288200,288300,288600,2500,1000,1200,12000,200,5300,9300,7200,500,100,286900,285100,286700,286600,286100,286000,285800,285700,285500,285200,600,6400,4000,100,1200,5300,3400,3000,1000,6400,287000,317100,0,287000,259500,287000,35,287000,288300,0,79,0,0,92903000,636000,267300,301680,278910,0,600085,600085.SH,0D09:29:05.445215000
442,453460,15800,20160504,287000,288800,287700,287800,287900,288000,288100,288200,288300,288600,2500,1000,1200,12000,200,5300,9300,7200,500,100,286900,285100,286700,286600,286100,286000,285800,285700,285500,285200,600,6400,4000,100,1200,5300,3400,3000,1000,6400,287000,317100,0,287000,259500,287000,35,287000,288300,0,79,0,0,92903000,636000,267300,301680,278910,0,600085,600085.SH,0D09:29:14.446643000
449,487894,17000,20160504,286900,288600,287000,287700,287800,287900,288000,288100,288200,288300,900,100,5000,1200,12000,600,5300,9300,7200,500,286700,284900,286100,286000,285800,285700,285500,285200,285100,285000,4000,100,1200,5600,3700,3000,1000,6400,6400,9100,287000,317100,0,286900,259500,286900,39,287000,288300,0,79,0,0,93002000,844200,268600,304280,278910,0,600085,600085.SH,0D09:30:04.185452000
466,1030053,35900,20160504,286800,288200,286900,287000,287600,287700,287800,287900,288000,288100,2100,1700,30300,2000,500,2200,2000,600,5400,1100,286100,284900,286000,285800,285700,285600,285500,285200,285100,285000,9600,100,58800,1800,3000,1100,1000,6400,8400,20100,287000,317100,0,286100,259500,286800,73,287000,288300,0,79,0,0,93005000,904211,352500,303540,280250,0,600085,600085.SH,0D09:30:07.559282000
487,1078789,37600,20160504,286800,288200,286900,287000,287600,287700,287800,287900,288000,288100,3000,1600,35600,3200,500,2400,3000,600,5200,1100,286200,285000,286100,286000,285800,285700,285600,285500,285200,285100,700,20300,9800,58100,1800,3000,1100,1000,7400,8700,287000,317100,0,286100,259500,286800,78,287000,288300,0,79,0,0,93008000,953811,359100,303480,280280,0,600085,600085.SH,0D09:30:13.360764000
496,1130395,39400,20160504,286700,288100,286800,286900,287000,287600,287700,287800,287900,288000,200,1100,3000,40700,3200,500,2400,3000,600,5200,286200,285000,286100,286000,285800,285700,285600,285500,285200,285100,700,20300,9800,58100,1800,3000,1100,1000,7400,8700,287000,317100,0,286100,259500,286700,80,287000,288300,0,79,0,0,93011000,959211,361500,303390,280270,0,600085,600085.SH,0D09:30:14.271119000
505,1336901,46600,20160504,286900,288300,287000,287600,287700,287800,287900,288000,288100,288200,38200,500,3300,500,2400,3000,600,5200,1100,1600,286800,285100,286200,286100,286000,285800,285700,285600,285500,285200,1700,8700,300,9800,58100,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286900,88,287000,288300,0,79,0,0,93014000,953711,362900,303480,280290,0,600085,600085.SH,0D09:30:15.199991000
520,1437314,50100,20160504,286900,288300,287000,287600,287700,287800,287900,288000,288100,288200,34900,500,3300,500,2400,3000,600,5200,1100,1600,286800,285100,286200,286100,286000,285800,285700,285600,285500,285200,1500,8700,1100,9800,78200,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286900,92,287000,288300,0,79,0,0,93017000,950511,383300,303540,280600,0,600085,600085.SH,0D09:30:17.855246000
535,1437314,50100,20160504,286900,288300,287000,287600,287700,287800,287900,288000,288100,288200,30400,500,3300,500,2400,3000,600,2200,1100,1600,286800,285100,286200,286100,286000,285800,285700,285600,285500,285200,1500,8700,2300,9800,78200,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286900,92,287000,288300,0,79,0,0,93020000,944011,385000,303660,280610,0,600085,600085.SH,0D09:30:20.497208000
550,1491806,52000,20160504,286900,288200,287000,287200,287600,287700,287800,287900,288000,288100,30400,1600,3200,600,500,2400,3000,600,2200,1100,286800,285100,286200,286100,286000,285800,285700,285600,285500,285200,1000,8700,2300,11000,78200,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286800,94,287000,288300,0,79,0,0,93023000,944511,386000,303650,280620,0,600085,600085.SH,0D09:30:23.503482000
565,1491806,52000,20160504,286900,288200,287000,287200,287600,287700,287800,287900,288000,288100,30400,1600,3200,600,500,2400,3000,600,2200,1100,286800,285100,286200,286100,286000,285800,285700,285600,285500,285200,1000,8700,2300,2800,78200,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286800,94,287000,288300,0,79,0,0,93026000,944511,377900,303650,280510,0,600085,600085.SH,0D09:30:26.577669000
580,1517618,52900,20160504,286900,288200,287000,287200,287600,287700,287800,287900,288000,288100,30700,1400,3200,600,500,2400,3000,600,2200,1100,286800,285100,286200,286100,286000,285800,285700,285600,285500,285200,200,8700,2300,2800,78200,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286800,97,287000,288300,0,79,0,0,93029000,944011,378100,303650,280500,0,600085,600085.SH,0D09:30:29.599302000
595,1520486,53000,20160504,286600,288100,286900,287000,287200,287600,287700,287800,287900,288000,1100,1100,30700,3200,600,500,2400,2000,600,2200,286200,285000,286100,286000,285800,285700,285600,285500,285200,285100,2300,21000,2800,78200,1800,3000,1100,1000,7400,8700,287000,317100,0,286100,259500,286800,98,287000,288300,0,79,0,0,93032000,944111,378900,303650,280500,0,600085,600085.SH,0D09:30:32.802793000
610,1523352,53100,20160504,286600,288000,286800,286900,287000,287200,287600,287700,287800,287900,1000,2400,4600,30700,3200,600,500,2400,2000,600,286300,285100,286200,286100,286000,285800,285700,285600,285500,285200,500,9200,2300,2800,78200,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286600,99,287000,288300,0,79,0,0,93035000,948811,380100,303570,280510,0,600085,600085.SH,0D09:30:35.410926000
625,1529081,53300,20160504,286600,288000,286800,286900,287000,287200,287600,287700,287800,287900,900,2400,4700,30600,3200,600,500,2400,2000,600,286300,285100,286200,286100,286000,285800,285700,285600,285500,285200,400,9200,4100,2900,78200,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286600,101,287000,288300,0,79,0,0,93038000,948511,381900,303570,280540,0,600085,600085.SH,0D09:30:38.945314000
640,1529081,53300,20160504,286600,288000,286800,286900,287000,287200,287600,287700,287800,287900,900,2500,4700,30600,3200,600,500,2400,2000,600,286300,285100,286200,286100,286000,285800,285700,285600,285500,285200,400,9200,4100,2900,78200,1800,3000,1100,1000,7400,287000,317100,0,286100,259500,286600,101,287000,288300,0,79,0,0,93040000,949211,383400,303570,280540,0,600085,600085.SH,0D09:30:41.920634000
655,1529081,53300,20160504,286600,288000,286800,286900,287000,287200,287600,287700,287800,287900,1100,2500,4700,30600,3200,600,500,2400,2000,600,286400,285200,286300,286200,286100,286000,285800,285700,285600,285500,300,7400,400,4100,3200,78200,1800,3000,1100,1000,287000,317100,0,286100,259500,286600,101,287000,288300,0,79,0,0,93044000,949411,384600,303560,280550,0,600085,600085.SH,0D09:30:44.940525000
670,1529081,53300,20160504,286600,288000,286800,286900,287000,287200,287600,287700,287800,287900,1100,2500,4700,30600,3200,600,500,2400,2000,600,286400,285200,286300,286200,286100,286000,285800,285700,285600,285500,300,7400,400,4100,5200,78200,1800,3000,1100,1000,287000,317100,0,286100,259500,286600,101,287000,288300,0,79,0,0,93047000,950411,386600,303550,280580,0,600085,600085.SH,0D09:30:48.136205000
