,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
666,285190,15800,20160429,180500,182800,180600,180800,181000,181500,181700,181800,181900,182200,1766,3000,500,14741,8200,8700,200,7400,3500,500,180400,179000,180200,180100,180000,179800,179700,179600,179300,179100,500,700,27400,34200,35300,11800,30000,2100,500,2000,180500,200100,0,180500,163700,180500,29,0,181900,0,73,0,0,92502000,353107,286000,191010,176790,0,600677,600677.SH,0D09:25:03.175072000
692,285190,15800,20160429,180500,182800,180600,180800,181000,181500,181700,181800,181900,182200,1766,3000,500,14741,8200,8700,200,7400,3500,500,180400,179000,180200,180100,180000,179800,179700,179600,179300,179100,500,700,27400,34200,35300,11800,30000,2100,500,2000,180500,200100,0,180500,163700,180500,29,180500,181900,0,100,0,0,92508000,353107,286000,191010,176790,0,600677,600677.SH,0D09:25:09.137489000
722,285190,15800,20160429,180500,182800,180600,180800,181000,181500,181700,181800,181900,182200,1766,3000,500,14741,8200,8700,200,7400,3500,500,180400,179000,180200,180100,180000,179800,179700,179600,179300,179100,500,700,27400,34200,35300,11800,30000,2100,500,2000,180500,200100,0,180500,163700,180500,29,180500,181900,0,79,0,0,92901000,353107,286000,191010,176790,0,600677,600677.SH,0D09:29:02.236483000
740,285190,15800,20160429,180500,182800,180600,180800,181000,181500,181700,181800,181900,182200,1766,3000,500,14741,8200,8700,200,7400,3500,500,180400,179000,180200,180100,180000,179800,179700,179600,179300,179100,500,700,27400,34200,35300,11800,30000,2100,500,2000,180500,200100,0,180500,163700,180500,29,180500,181900,0,79,0,0,92903000,353107,286000,191010,176790,0,600677,600677.SH,0D09:29:08.244631000
741,285190,15800,20160429,180500,182800,180600,180800,181000,181500,181700,181800,181900,182200,1766,3000,500,14741,8200,8700,200,7400,3500,500,180400,179000,180200,180100,180000,179800,179700,179600,179300,179100,500,700,27400,34200,35300,11800,30000,2100,500,2000,180500,200100,0,180500,163700,180500,29,180500,181900,0,79,0,0,92903000,353107,286000,191010,176790,0,600677,600677.SH,0D09:29:08.244683000
757,416206,23066,20160429,180800,183000,181000,181500,181800,181900,182200,182400,182800,182900,15241,300,8200,700,2400,3500,500,300,3000,2800,180600,179100,180500,180200,180100,180000,179800,179700,179600,179300,734,2000,2400,23100,35000,35300,11800,30000,2100,500,180600,200100,0,180200,163700,180600,34,180500,181900,0,79,0,0,93002000,344141,286034,191300,176780,0,600677,600677.SH,0D09:30:02.319597000
766,912620,50566,20160429,180600,182400,180800,181000,181500,181800,181900,182000,182200,182300,7300,300,13041,10300,700,300,6500,800,3500,3000,180500,179500,180300,180200,180100,180000,179900,179800,179700,179600,1000,1000,32600,19434,40200,53400,1000,39200,30000,2200,180800,200100,0,180200,163700,180600,76,180500,181900,0,79,0,0,93004000,413341,433334,191660,177010,0,600677,600677.SH,0D09:30:05.429578000
778,1303940,72266,20160429,180600,182400,180800,181000,181500,181800,181900,182000,182200,182300,5800,300,13041,10300,700,300,6500,800,3500,3000,180500,179600,180400,180300,180200,180100,180000,179900,179800,179700,600,2200,300,13600,19434,42200,53400,1000,39200,30000,180800,200100,0,180200,163700,180500,80,180500,181900,0,79,0,0,93008000,412341,428534,191700,176750,0,600677,600677.SH,0D09:30:10.750961000
787,1356300,75166,20160429,180600,182400,180800,181000,181500,181800,181900,182000,182200,182300,3900,300,13041,10300,700,300,6500,800,3500,3000,180500,179500,180300,180200,180100,180000,179900,179800,179700,179600,500,1000,13600,19434,42200,53400,1000,39200,30000,2200,180800,200100,0,180200,163700,180600,86,180500,181900,0,79,0,0,93011000,411841,433634,191740,176730,0,600677,600677.SH,0D09:30:11.326073000
796,1365330,75666,20160429,180600,182400,180800,181000,181500,181800,181900,182000,182200,182300,3400,300,13041,10300,700,300,6500,800,3500,3000,180500,179500,180300,180200,180100,180000,179900,179800,179700,179600,500,1000,13600,19434,42200,53400,1000,39200,30000,2200,180800,200100,0,180200,163700,180600,87,180500,181900,0,79,0,0,93014000,411341,434134,191750,176730,0,600677,600677.SH,0D09:30:14.562397000
811,1365330,75666,20160429,180600,182400,180800,181000,181500,181800,181900,182000,182200,182300,3400,300,13041,10300,700,100,6500,800,3500,3000,180500,179500,180300,180200,180100,180000,179900,179800,179700,179600,500,1000,13600,19434,42200,53400,1000,39200,30000,2200,180800,200100,0,180200,163700,180600,87,180500,181900,0,79,0,0,93017000,411141,444134,191760,176530,0,600677,600677.SH,0D09:30:17.319621000
