,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
345,3082020,331400,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,2900,25700,16684,34500,7000,1800,42336,10100,12900,26400,93000,92100,92900,92800,92700,92600,92500,92400,92300,92200,498700,148500,343000,54700,30800,111700,59600,7900,24100,61200,93000,103200,0,93000,84400,93000,86,0,93800,0,73,0,0,92500000,4421662,3059300,98480,89260,0,600016,600016.SH,0D09:25:00.818720000
378,3082020,331400,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,2900,25700,16684,34500,7000,1800,42336,10100,12900,26400,93000,92100,92900,92800,92700,92600,92500,92400,92300,92200,498700,148500,343000,54700,30800,111700,59600,7900,24100,61200,93000,103200,0,93000,84400,93000,86,93000,93800,0,100,0,0,92506000,4421662,3059300,98480,89260,0,600016,600016.SH,0D09:25:08.213262000
379,3082020,331400,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,2900,25700,16684,34500,7000,1800,42336,10100,12900,26400,93000,92100,92900,92800,92700,92600,92500,92400,92300,92200,498700,148500,343000,54700,30800,111700,59600,7900,24100,61200,93000,103200,0,93000,84400,93000,86,93000,93800,0,100,0,0,92506000,4421662,3059300,98480,89260,0,600016,600016.SH,0D09:25:08.213359000
418,3082020,331400,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,2900,25700,16684,34500,7000,1800,42336,10100,12900,26400,93000,92100,92900,92800,92700,92600,92500,92400,92300,92200,498700,148500,343000,54700,30800,111700,59600,7900,24100,61200,93000,103200,0,93000,84400,93000,86,93000,93800,0,79,0,0,92902000,4421662,3059300,98480,89260,0,600016,600016.SH,0D09:29:02.311809000
419,3082020,331400,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,2900,25700,16684,34500,7000,1800,42336,10100,12900,26400,93000,92100,92900,92800,92700,92600,92500,92400,92300,92200,498700,148500,343000,54700,30800,111700,59600,7900,24100,61200,93000,103200,0,93000,84400,93000,86,93000,93800,0,79,0,0,92902000,4421662,3059300,98480,89260,0,600016,600016.SH,0D09:29:02.311870000
436,3082020,331400,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,2900,25700,16684,34500,7000,1800,42336,10100,12900,26400,93000,92100,92900,92800,92700,92600,92500,92400,92300,92200,498700,148500,343000,54700,30800,111700,59600,7900,24100,61200,93000,103200,0,93000,84400,93000,86,93000,93800,0,79,0,0,92903000,4421662,3059300,98480,89260,0,600016,600016.SH,0D09:29:08.466928000
444,3091330,332400,20160504,93600,94500,93700,93800,93900,94000,94100,94200,94300,94400,2000,26400,4900,16684,34500,8000,1800,42336,10100,12900,93100,92200,93000,92900,92800,92700,92600,92500,92400,92300,521700,63200,512200,356100,88300,966000,111700,59600,507900,24500,93100,103200,0,93000,84400,93100,87,93000,93800,0,79,0,0,93002000,4511008,5086700,98410,90640,0,600016,600016.SH,0D09:30:02.405557000
455,3276715,352300,20160504,93600,94500,93700,93800,93900,94000,94100,94200,94300,94400,4500,134700,297962,140384,51600,21700,20800,84036,16700,21400,93100,92200,93000,92900,92800,92700,92600,92500,92400,92300,793600,187300,634900,358300,105200,985300,130200,175100,507900,29500,93600,103200,0,93000,84400,93600,99,93000,93800,0,79,0,0,93004000,5437715,5969900,97890,90900,0,600016,600016.SH,0D09:30:06.028342000
483,3290705,353800,20160504,93600,94500,93700,93800,93900,94000,94100,94200,94300,94400,4000,135300,305462,173884,51600,29700,24000,85036,18200,21400,93100,92200,93000,92900,92800,92700,92600,92500,92400,92300,857600,187300,624000,388300,139600,986000,140200,178000,514200,31500,93600,103200,0,93000,84400,93100,101,93000,93800,0,79,0,0,93008000,5536615,6129400,97860,90950,0,600016,600016.SH,0D09:30:13.351033000
490,3442337,370000,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,519462,55300,173884,51600,29700,25700,85036,18200,21400,135300,93600,92300,93100,93000,92900,92800,92700,92600,92500,92400,53900,31500,886600,627500,388800,139600,991000,140200,180000,514200,93600,103200,0,93000,84400,93600,105,93000,93800,0,79,0,0,93011000,5753915,6227300,97710,90980,0,600016,600016.SH,0D09:30:14.264279000
502,3489137,375000,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,519462,55300,173884,51600,31100,25700,85036,18200,21400,135300,93600,92300,93100,93000,92900,92800,92700,92600,92500,92400,51800,31500,886600,637500,388800,139600,996600,140200,181200,514200,93600,103200,0,93000,84400,93600,106,93000,93800,0,79,0,0,93014000,5830915,6262200,97700,90990,0,600016,600016.SH,0D09:30:15.192272000
517,3652937,392500,20160504,93700,94600,93800,93900,94000,94100,94200,94300,94400,94500,519462,55300,173884,51600,31100,25700,85036,18200,21400,135300,93600,92300,93100,93000,92900,92800,92700,92600,92500,92400,34300,31500,937600,637500,388800,139600,991600,140200,181900,514200,93600,103200,0,93000,84400,93600,108,93000,93800,0,79,0,0,93017000,5835615,6392600,97700,91020,0,600016,600016.SH,0D09:30:17.795646000
532,3973985,426800,20160504,93600,94500,93700,93800,93900,94000,94100,94200,94300,94400,16400,135300,519462,168884,51600,31100,25700,85036,18200,21400,93400,92400,93200,93100,93000,92900,92800,92700,92600,92500,2900,514200,22500,937600,637500,390800,139600,991600,140200,181900,93600,103200,0,93000,84400,93600,112,93000,93800,0,79,0,0,93020000,5867715,6386700,97680,91010,0,600016,600016.SH,0D09:30:20.436208000
